sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,d,b,t,kdes,kdet,x,y,xp,yp,Iz,rz,Sz,Cw,ro,H,tanAlpha,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
AISC-L-L5X3_1_2X3_4,L,L5X3-1/2X3/4,L5X3-1/2X3/4,AISC-SHAPES,16.0,19.8,US_CUSTOMARY,5.85,13.9,7.6,4.26,1.55,5.52,4.07,2.2,0.974,1.09,3.5,5,0.75,1.19,1.1875,0.993,1.74,0.585,1.1,3.23,0.744,1.9,1.52,2.36,,0.464,16.2,2.29,1.16,3.22,1.7,1.63,0.81,7.07,14,5.03,1.9,1.98,3.99,13.5,12,17
AISC-L-L5X3_1_2X3_8,L,L5X3-1/2X3/8,L5X3-1/2X3/8,AISC-SHAPES,16.0,10.4,US_CUSTOMARY,3.05,7.75,4.09,2.28,1.59,3.15,2.12,1.19,1.02,0.15,3.5,5,0.375,0.813,0.8125,0.854,1.6,0.305,0.933,1.73,0.755,0.983,0.217,2.45,,0.485,9.16,2.43,1.07,3.35,1.76,1.47,0.884,3.77,8.56,2.73,0.983,1.18,1.96,13.5,12,17
AISC-L-L5X3_1_2X5_16,L,L5X3-1/2X5/16,L5X3-1/2X5/16,AISC-SHAPES,16.0,8.7,US_CUSTOMARY,2.56,6.58,3.45,1.92,1.6,2.69,1.77,1.01,1.02,0.0883,3.5,5,0.313,0.75,0.75,0.829,1.57,0.256,0.904,1.47,0.758,0.826,0.128,2.47,,0.489,7.8,2.44,1.05,3.38,1.78,1.43,0.902,3.2,7.43,2.31,0.826,1.03,1.63,13.5,12,17
AISC-L-L5X3_1_2X5_8,L,L5X3-1/2X5/8,L5X3-1/2X5/8,AISC-SHAPES,16.0,16.8,US_CUSTOMARY,4.93,12,6.5,3.63,1.56,4.8,3.43,1.88,0.987,0.651,3.5,5,0.625,1.06,1.0625,0.947,1.69,0.493,1.06,2.74,0.746,1.59,0.918,2.39,,0.472,14.1,2.33,1.12,3.26,1.72,1.58,0.838,6.05,12.6,4.33,1.59,1.73,3.27,13.5,12,17
AISC-L-L5X5X1_2,L,L5X5X1/2,L5X5X1/2,AISC-SHAPES,16.0,16.2,US_CUSTOMARY,4.79,11.3,5.66,3.15,1.53,11.3,5.66,3.15,1.53,0.417,5,5,0.5,1,1,1.42,1.42,0.479,0.479,4.64,0.98,2.31,0.744,2.73,0.63,1,18,3.36,0,3.36,1.7,2.01,1.7,5.36,,5.36,2.73,2.31,2.73,15,15,20
AISC-L-L5X5X3_4,L,L5X5X3/4,L5X5X3/4,AISC-SHAPES,16.0,23.6,US_CUSTOMARY,6.98,15.7,8.14,4.52,1.5,15.7,8.14,4.52,1.5,1.33,5,5,0.75,1.25,1.25,1.52,1.52,0.698,0.698,6.55,0.972,3.05,2.32,2.67,0.63,1,24.8,3.27,0,3.27,1.65,2.15,1.65,7.58,,7.58,3.97,3.05,3.97,15,15,20
AISC-L-L5X5X3_8,L,L5X5X3/8,L5X5X3/8,AISC-SHAPES,16.0,12.3,US_CUSTOMARY,3.65,8.76,4.33,2.41,1.55,8.76,4.33,2.41,1.55,0.183,5,5,0.375,0.875,0.875,1.37,1.37,0.365,0.365,3.55,0.986,1.83,0.327,2.76,0.63,1,14,3.4,0,3.4,1.73,1.94,1.73,4.12,,4.12,2.05,1.83,2.05,15,15,20
AISC-L-L5X5X5_16,L,L5X5X5/16,L5X5X5/16,AISC-SHAPES,16.0,10.3,US_CUSTOMARY,3.07,7.44,3.65,2.04,1.56,7.44,3.65,2.04,1.56,0.108,5,5,0.313,0.813,0.8125,1.35,1.35,0.307,0.307,3,0.99,1.57,0.193,2.77,0.63,1,11.9,3.42,0,3.42,1.74,1.91,1.74,3.48,,3.48,1.72,1.57,1.72,15,15,20
AISC-L-L5X5X5_8,L,L5X5X5/8,L5X5X5/8,AISC-SHAPES,16.0,20,US_CUSTOMARY,5.9,13.6,6.93,3.85,1.52,13.6,6.93,3.85,1.52,0.792,5,5,0.625,1.13,1.125,1.47,1.47,0.59,0.59,5.62,0.975,2.7,1.4,2.7,0.63,1,21.6,3.31,0,3.31,1.68,2.08,1.68,6.53,,6.53,3.35,2.7,3.35,15,15,20
AISC-L-L5X5X7_16,L,L5X5X7/16,L5X5X7/16,AISC-SHAPES,16.0,14.3,US_CUSTOMARY,4.22,10,5,2.78,1.54,10,5,2.78,1.54,0.284,5,5,0.438,0.938,0.9375,1.4,1.4,0.422,0.422,4.04,0.983,2.04,0.508,2.74,0.63,1,15.9,3.38,0,3.38,1.71,1.98,1.71,4.7,,4.7,2.36,2.04,2.36,15,15,20
AISC-L-L5X5X7_8,L,L5X5X7/8,L5X5X7/8,AISC-SHAPES,16.0,27.2,US_CUSTOMARY,8,17.8,9.31,5.16,1.49,17.8,9.31,5.16,1.49,2.07,5,5,0.875,1.38,1.375,1.56,1.56,0.8,0.8,7.6,0.971,3.44,3.53,2.64,0.64,1,28,3.23,0,3.23,1.64,2.21,1.64,8.67,,8.67,4.63,3.44,4.63,15,15,20
AISC-L-L6X3_1_2X1_2,L,L6X3-1/2X1/2,L6X3-1/2X1/2,AISC-SHAPES,16.0,15.3,US_CUSTOMARY,4.5,16.6,7.49,4.23,1.92,4.24,2.88,1.59,0.968,0.386,3.5,6,0.5,1,1,0.829,2.07,0.375,1.5,2.59,0.756,1.34,0.779,2.88,,0.343,18.3,2.59,1.69,3.9,1.94,1.46,0.729,7.07,10.8,4.69,1.34,1.77,3.55,15.5,13,19
AISC-L-L6X3_1_2X3_8,L,L6X3-1/2X3/8,L6X3-1/2X3/8,AISC-SHAPES,16.0,11.7,US_CUSTOMARY,3.44,12.9,5.74,3.23,1.93,3.33,2.18,1.22,0.984,0.168,3.5,6,0.375,0.875,0.875,0.781,2.02,0.287,1.41,2.01,0.763,1.02,0.341,2.9,,0.349,14.2,2.62,1.65,3.95,1.97,1.4,0.748,5.42,8.61,3.59,1.02,1.44,2.69,15.5,13,19
AISC-L-L6X3_1_2X5_16,L,L6X3-1/2X5/16,L6X3-1/2X5/16,AISC-SHAPES,16.0,9.8,US_CUSTOMARY,2.89,10.9,4.84,2.72,1.94,2.84,1.82,1.03,0.991,0.099,3.5,6,0.313,0.813,0.8125,0.756,2,0.241,1.38,1.7,0.767,0.859,0.201,2.92,,0.352,12,2.65,1.64,3.97,1.98,1.38,0.764,4.53,7.32,3.02,0.859,1.23,2.23,15.5,13,19
AISC-L-L6X4X1_2,L,L6X4X1/2,L6X4X1/2,AISC-SHAPES,16.0,16.2,US_CUSTOMARY,4.75,17.3,7.71,4.31,1.91,6.22,3.69,2.06,1.14,0.407,4,6,0.5,1,1,0.981,1.98,0.396,1.25,3.54,0.864,1.72,0.843,2.91,,0.44,20,2.8,1.41,3.97,2.06,1.7,0.955,7.14,14.2,5.04,1.72,2.08,3.71,16,14,20
AISC-L-L6X4X3_4,L,L6X4X3/4,L6X4X3/4,AISC-SHAPES,16.0,23.6,US_CUSTOMARY,6.94,24.5,11.1,6.23,1.88,8.63,5.42,2.95,1.12,1.31,4,6,0.75,1.25,1.25,1.07,2.07,0.578,1.37,5.08,0.856,2.5,2.64,2.85,,0.428,28.1,2.71,1.48,3.89,2.03,1.8,0.906,10.4,19,7.22,2.5,2.82,5.61,16,14,20
AISC-L-L6X4X3_8,L,L6X4X3/8,L6X4X3/8,AISC-SHAPES,16.0,12.3,US_CUSTOMARY,3.61,13.4,5.89,3.3,1.93,4.86,2.79,1.58,1.16,0.177,4,6,0.375,0.875,0.875,0.933,1.93,0.301,1.19,2.73,0.87,1.31,0.369,2.94,,0.446,15.5,2.84,1.38,4.02,2.09,1.64,0.979,5.46,11.2,3.86,1.31,1.66,2.79,16,14,20
AISC-L-L6X4X5_16,L,L6X4X5/16,L6X4X5/16,AISC-SHAPES,16.0,10.3,US_CUSTOMARY,3.03,11.4,4.96,2.77,1.94,4.13,2.33,1.34,1.17,0.104,4,6,0.313,0.813,0.8125,0.908,1.9,0.253,1.15,2.31,0.874,1.09,0.217,2.96,,0.449,13.2,2.85,1.36,4.05,2.11,1.6,0.988,4.63,9.71,3.26,1.09,1.44,2.34,16,14,20
AISC-L-L6X4X5_8,L,L6X4X5/8,L6X4X5/8,AISC-SHAPES,16.0,20,US_CUSTOMARY,5.86,21,9.44,5.29,1.89,7.48,4.56,2.52,1.13,0.775,4,6,0.625,1.13,1.125,1.03,2.03,0.488,1.31,4.32,0.859,2.12,1.59,2.88,,0.435,24.2,2.76,1.45,3.93,2.04,1.75,0.926,8.77,16.7,6.16,2.12,2.47,4.67,16,14,20
AISC-L-L6X4X7_16,L,L6X4X7/16,L6X4X7/16,AISC-SHAPES,16.0,14.3,US_CUSTOMARY,4.18,15.4,6.81,3.81,1.92,5.56,3.24,1.83,1.15,0.276,4,6,0.438,0.938,0.9375,0.957,1.95,0.348,1.22,3.14,0.867,1.51,0.575,2.93,,0.443,17.8,2.82,1.39,4,2.08,1.67,0.97,6.31,12.8,4.45,1.51,1.88,3.24,16,14,20
AISC-L-L6X4X7_8,L,L6X4X7/8,L6X4X7/8,AISC-SHAPES,16.0,27.2,US_CUSTOMARY,8,27.7,12.7,7.13,1.86,9.7,6.26,3.37,1.1,2.03,4,6,0.875,1.38,1.375,1.12,2.12,0.667,1.43,5.82,0.854,2.91,4.04,2.82,,0.421,31.6,2.67,1.52,3.84,2,1.86,0.877,11.8,20.8,8.23,2.91,3.13,6.64,16,14,20
AISC-L-L6X4X9_16,L,L6X4X9/16,L6X4X9/16,AISC-SHAPES,16.0,18.1,US_CUSTOMARY,5.31,19.2,8.59,4.81,1.9,6.86,4.13,2.29,1.14,0.572,4,6,0.563,1.06,1.0625,1,2,0.443,1.28,3.93,0.861,1.91,1.18,2.9,,0.438,22.1,2.78,1.43,3.95,2.06,1.72,0.947,7.95,15.5,5.59,1.91,2.28,4.15,16,14,20
AISC-L-L6X6X1,L,L6X6X1,L6X6X1,AISC-SHAPES,16.0,37.4,US_CUSTOMARY,11,35.4,15.4,8.55,1.79,35.4,15.4,8.55,1.79,3.68,6,6,1,1.5,1.5,1.86,1.86,0.917,0.917,14.9,1.17,5.67,9.24,3.18,0.64,1,55.8,3.89,0,3.89,1.97,2.63,1.97,14.3,,14.3,7.56,5.67,7.56,18,18,24
AISC-L-L6X6X1_2,L,L6X6X1/2,L6X6X1/2,AISC-SHAPES,16.0,19.6,US_CUSTOMARY,5.77,19.9,8.22,4.59,1.86,19.9,8.22,4.59,1.86,0.501,6,6,0.5,1,1,1.67,1.67,0.481,0.481,8.06,1.18,3.42,1.32,3.31,0.63,1,31.8,4.07,0,4.07,2.06,2.36,2.06,7.81,,7.81,3.91,3.42,3.91,18,18,24
AISC-L-L6X6X3_4,L,L6X6X3/4,L6X6X3/4,AISC-SHAPES,16.0,28.7,US_CUSTOMARY,8.46,28.1,11.9,6.64,1.82,28.1,11.9,6.64,1.82,1.61,6,6,0.75,1.25,1.25,1.77,1.77,0.705,0.705,11.6,1.17,4.64,4.17,3.24,0.63,1,44.6,3.98,0,3.98,2,2.5,2,11.2,,11.2,5.8,4.64,5.8,18,18,24
AISC-L-L6X6X3_8,L,L6X6X3/8,L6X6X3/8,AISC-SHAPES,16.0,14.9,US_CUSTOMARY,4.38,15.4,6.27,3.51,1.87,15.4,6.27,3.51,1.87,0.218,6,6,0.375,0.875,0.875,1.62,1.62,0.365,0.365,6.21,1.19,2.71,0.575,3.34,0.63,1,24.6,4.11,0,4.11,2.08,2.29,2.08,5.99,,5.99,2.99,2.71,2.99,18,18,24
AISC-L-L6X6X5_16,L,L6X6X5/16,L6X6X5/16,AISC-SHAPES,16.0,12.4,US_CUSTOMARY,3.67,13,5.26,2.95,1.88,13,5.26,2.95,1.88,0.129,6,6,0.313,0.813,0.8125,1.6,1.6,0.306,0.306,5.2,1.19,2.3,0.338,3.35,0.63,1,20.8,4.13,0,4.13,2.09,2.26,2.09,5.04,,5.04,2.49,2.3,2.49,18,18,24
AISC-L-L6X6X5_8,L,L6X6X5/8,L6X6X5/8,AISC-SHAPES,16.0,24.2,US_CUSTOMARY,7.13,24.1,10.1,5.64,1.84,24.1,10.1,5.64,1.84,0.955,6,6,0.625,1.13,1.125,1.72,1.72,0.594,0.594,9.81,1.17,4.04,2.5,3.28,0.63,1,38.4,4.02,0,4.02,2.03,2.43,2.03,9.55,,9.55,4.83,4.04,4.83,18,18,24
AISC-L-L6X6X7_16,L,L6X6X7/16,L6X6X7/16,AISC-SHAPES,16.0,17.2,US_CUSTOMARY,5.08,17.6,7.25,4.06,1.86,17.6,7.25,4.06,1.86,0.34,6,6,0.438,0.938,0.9375,1.65,1.65,0.423,0.423,7.05,1.18,3.03,0.899,3.32,0.63,1,28.1,4.09,0,4.09,2.06,2.33,2.06,6.87,,6.87,3.42,3.03,3.42,18,18,24
AISC-L-L6X6X7_8,L,L6X6X7/8,L6X6X7/8,AISC-SHAPES,16.0,33.1,US_CUSTOMARY,9.75,31.9,13.7,7.61,1.81,31.9,13.7,7.61,1.81,2.51,6,6,0.875,1.38,1.375,1.81,1.81,0.813,0.813,13.3,1.17,5.2,6.41,3.21,0.63,1,50.5,3.93,0,3.93,1.99,2.56,1.99,12.8,,12.8,6.68,5.2,6.68,18,18,24
AISC-L-L6X6X9_16,L,L6X6X9/16,L6X6X9/16,AISC-SHAPES,16.0,21.9,US_CUSTOMARY,6.45,22,9.18,5.12,1.85,22,9.18,5.12,1.85,0.704,6,6,0.563,1.06,1.0625,1.7,1.7,0.538,0.538,8.9,1.18,3.71,1.85,3.29,0.63,1,35.1,4.04,0,4.04,2.04,2.4,2.04,8.69,,8.69,4.36,3.71,4.36,18,18,24
AISC-L-L7X4X1_2,L,L7X4X1/2,L7X4X1/2,AISC-SHAPES,16.0,17.9,US_CUSTOMARY,5.26,26.6,10.2,5.79,2.25,6.48,3.77,2.1,1.11,0.456,4,7,0.5,1,1,0.91,2.4,0.376,1.74,3.94,0.866,1.75,1.25,3.37,,0.334,29.1,3.02,1.99,4.57,2.25,1.62,0.834,9.64,14.6,6.37,1.75,2.43,4.72,18,15,22
AISC-L-L7X4X3_4,L,L7X4X3/4,L7X4X3/4,AISC-SHAPES,16.0,26.2,US_CUSTOMARY,7.74,37.8,14.8,8.39,2.21,9,5.6,3.01,1.08,1.47,4,7,0.75,1.25,1.25,1,2.5,0.553,1.84,5.63,0.855,2.56,3.97,3.31,,0.324,41.2,2.95,2.07,4.47,2.2,1.72,0.79,14,19.9,9.22,2.56,3.27,7.13,18,15,22
AISC-L-L7X4X3_8,L,L7X4X3/8,L7X4X3/8,AISC-SHAPES,16.0,13.6,US_CUSTOMARY,4,20.5,7.81,4.42,2.27,5.06,2.84,1.61,1.12,0.198,4,7,0.375,0.875,0.875,0.861,2.35,0.286,1.67,3.04,0.873,1.33,0.544,3.4,,0.339,22.5,3.06,1.95,4.62,2.28,1.57,0.859,7.35,11.5,4.87,1.33,1.94,3.54,18,15,22
AISC-L-L7X4X5_8,L,L7X4X5/8,L7X4X5/8,AISC-SHAPES,16.0,22.1,US_CUSTOMARY,6.5,32.4,12.5,7.12,2.23,7.79,4.69,2.56,1.1,0.868,4,7,0.625,1.13,1.125,0.958,2.45,0.464,1.8,4.81,0.86,2.17,2.37,3.34,,0.329,35.4,2.98,2.03,4.52,2.22,1.68,0.808,11.9,17.4,7.83,2.17,2.86,5.95,18,15,22
AISC-L-L7X4X7_16,L,L7X4X7/16,L7X4X7/16,AISC-SHAPES,16.0,15.7,US_CUSTOMARY,4.63,23.6,9.03,5.11,2.26,5.79,3.31,1.86,1.12,0.31,4,7,0.438,0.938,0.9375,0.886,2.38,0.331,1.71,3.5,0.869,1.55,0.851,3.38,,0.337,25.9,3.04,1.97,4.59,2.26,1.6,0.846,8.52,13.1,5.64,1.55,2.19,4.14,18,15,22
AISC-L-L8X4X1,L,L8X4X1,L8X4X1,AISC-SHAPES,16.0,37.4,US_CUSTOMARY,11.1,69.7,24.3,14,2.51,11.6,7.73,3.94,1.03,3.68,4,8,1,1.5,1.5,1.04,3.03,0.694,2.45,7.83,0.844,3.45,12.9,3.75,,0.247,73.4,3.17,2.69,4.95,2.27,1.74,0.667,23.2,27.3,14.8,3.45,4.5,11.7,20,16,24
AISC-L-L8X4X1_2,L,L8X4X1/2,L8X4X1/2,AISC-SHAPES,16.0,19.6,US_CUSTOMARY,5.8,38.6,13.1,7.48,2.58,6.75,3.91,2.15,1.08,0.501,4,8,0.5,1,1,0.854,2.84,0.363,2.2,4.32,0.863,1.82,1.8,3.86,,0.266,41,3.31,2.52,5.14,2.37,1.56,0.744,12.4,16.3,7.98,1.82,2.77,5.81,20,16,24
AISC-L-L8X4X3_4,L,L8X4X3/4,L8X4X3/4,AISC-SHAPES,16.0,28.7,US_CUSTOMARY,8.49,55,18.9,10.9,2.55,9.37,5.82,3.07,1.05,1.61,4,8,0.75,1.25,1.25,0.949,2.94,0.531,2.34,6.14,0.85,2.65,5.75,3.8,,0.257,58.2,3.24,2.61,5.04,2.32,1.65,0.704,18,22.3,11.5,2.65,3.72,8.72,20,16,24
AISC-L-L8X4X5_8,L,L8X4X5/8,L8X4X5/8,AISC-SHAPES,16.0,24.2,US_CUSTOMARY,7.16,47,16.1,9.2,2.56,8.11,4.86,2.62,1.06,0.955,4,8,0.625,1.13,1.125,0.902,2.89,0.448,2.27,5.24,0.856,2.24,3.42,3.83,,0.262,49.9,3.28,2.57,5.09,2.34,1.61,0.725,15.2,19.4,9.8,2.24,3.25,7.23,20,16,24
AISC-L-L8X4X7_16,L,L8X4X7/16,L8X4X7/16,AISC-SHAPES,16.0,17.2,US_CUSTOMARY,5.11,34.2,11.6,6.59,2.59,6.03,3.42,1.9,1.09,0.34,4,8,0.438,0.938,0.9375,0.829,2.81,0.319,2.16,3.84,0.867,1.61,1.22,3.87,,0.268,36.4,3.33,2.5,5.17,2.39,1.53,0.758,10.9,14.6,7.04,1.61,2.51,5.07,20,16,24
AISC-L-L8X4X7_8,L,L8X4X7/8,L8X4X7/8,AISC-SHAPES,16.0,33.1,US_CUSTOMARY,9.79,62.6,21.7,12.5,2.53,10.5,6.77,3.51,1.04,2.51,4,8,0.875,1.38,1.375,0.997,2.99,0.612,2.41,6.97,0.846,3.04,8.89,3.78,,0.252,66.1,3.21,2.66,4.99,2.29,1.7,0.681,20.6,24.8,13.2,3.04,4.1,10.2,20,16,24
AISC-L-L8X4X9_16,L,L8X4X9/16,L8X4X9/16,AISC-SHAPES,16.0,21.9,US_CUSTOMARY,6.49,42.9,14.6,8.34,2.57,7.44,4.39,2.38,1.07,0.704,4,8,0.563,1.06,1.0625,0.878,2.86,0.406,2.23,4.78,0.859,2.03,2.53,3.84,,0.264,45.6,3.29,2.54,5.12,2.36,1.58,0.736,13.9,18,8.91,2.03,3.03,6.49,20,16,24
AISC-L-L8X6X1,L,L8X6X1,L8X6X1,AISC-SHAPES,16.0,44.2,US_CUSTOMARY,13.1,80.9,27.3,15.1,2.49,38.8,16.2,8.92,1.72,4.34,6,8,1,1.5,1.5,1.65,2.65,0.819,1.45,21.3,1.28,7.61,16.3,3.88,,0.542,98.4,3.96,1.54,5.25,2.8,2.71,1.54,24.8,63.9,18.7,7.61,7.86,13.8,22,20,28
AISC-L-L8X6X1_2,L,L8X6X1/2,L8X6X1/2,AISC-SHAPES,16.0,23,US_CUSTOMARY,6.8,44.4,14.6,8.01,2.55,21.7,8.52,4.79,1.79,0.584,6,8,0.5,1,1,1.46,2.46,0.425,1.2,11.5,1.3,3.98,2.28,4.01,,0.557,54.6,4.14,1.44,5.43,2.89,2.47,1.64,13.2,37.9,10.1,3.98,4.66,7.01,22,20,28
AISC-L-L8X6X3_4,L,L8X6X3/4,L8X6X3/4,AISC-SHAPES,16.0,33.8,US_CUSTOMARY,9.99,63.5,21.1,11.7,2.52,30.8,12.5,6.92,1.75,1.9,6,8,0.75,1.25,1.25,1.56,2.55,0.624,1.34,16.6,1.29,5.85,7.28,3.95,,0.55,77.8,4.05,1.48,5.35,2.84,2.6,1.59,19.2,52.6,14.5,5.85,6.38,10.4,22,20,28
AISC-L-L8X6X5_8,L,L8X6X5/8,L8X6X5/8,AISC-SHAPES,16.0,28.5,US_CUSTOMARY,8.41,54.2,17.9,9.86,2.54,26.4,10.5,5.88,1.77,1.12,6,8,0.625,1.13,1.125,1.51,2.5,0.526,1.27,14.1,1.29,4.91,4.33,3.98,,0.554,66.5,4.09,1.45,5.39,2.87,2.53,1.62,16.3,45.9,12.3,4.91,5.57,8.7,22,20,28
AISC-L-L8X6X7_16,L,L8X6X7/16,L8X6X7/16,AISC-SHAPES,16.0,20.2,US_CUSTOMARY,5.99,39.3,12.9,7.06,2.56,19.3,7.5,4.23,1.8,0.396,6,8,0.438,0.938,0.9375,1.44,2.43,0.374,1.15,10.2,1.31,3.52,1.55,4.02,,0.559,48.4,4.16,1.42,5.46,2.9,2.44,1.65,11.6,34.1,8.86,3.52,4.18,6.18,22,20,28
AISC-L-L8X6X7_8,L,L8X6X7/8,L8X6X7/8,AISC-SHAPES,16.0,39.1,US_CUSTOMARY,11.5,72.4,24.3,13.4,2.5,34.9,14.4,7.94,1.74,2.96,6,8,0.875,1.38,1.375,1.6,2.6,0.719,1.43,18.9,1.28,6.7,11.3,3.92,,0.546,88.4,4.01,1.51,5.3,2.82,2.65,1.57,22,58.5,16.7,6.7,7.13,12,22,20,28
AISC-L-L8X6X9_16,L,L8X6X9/16,L8X6X9/16,AISC-SHAPES,16.0,25.7,US_CUSTOMARY,7.61,49.4,16.2,8.94,2.55,24.1,9.52,5.34,1.78,0.823,6,8,0.563,1.06,1.0625,1.49,2.48,0.476,1.24,12.8,1.3,4.46,3.2,3.99,,0.556,60.7,4.11,1.44,5.41,2.87,2.51,1.62,14.8,42.2,11.2,4.46,5.1,7.9,22,20,28
AISC-L-L8X8X1,L,L8X8X1,L8X8X1,AISC-SHAPES,16.0,51,US_CUSTOMARY,15.1,89.1,28.5,15.8,2.43,89.1,28.5,15.8,2.43,5.08,8,8,1,1.63,1.625,2.36,2.36,0.944,0.944,36.8,1.56,11,23.4,4.32,0.63,1,141,5.3,0,5.3,2.67,3.34,2.67,26.6,,26.6,13.8,11,13.8,24,24,32
AISC-L-L8X8X1_1_8,L,L8X8X1-1/8,L8X8X1-1/8,AISC-SHAPES,16.0,56.9,US_CUSTOMARY,16.8,98.1,31.6,17.5,2.41,98.1,31.6,17.5,2.41,7.13,8,8,1.13,1.75,1.75,2.4,2.4,1.05,1.05,40.7,1.56,12,32.5,4.29,0.63,1,155,5.26,0,5.26,2.66,3.39,2.66,29.5,,29.5,15.3,12,15.3,24,24,32
AISC-L-L8X8X1_2,L,L8X8X1/2,L8X8X1/2,AISC-SHAPES,16.0,26.4,US_CUSTOMARY,7.84,48.8,15.1,8.36,2.49,48.8,15.1,8.36,2.49,0.683,8,8,0.5,1.13,1.125,2.17,2.17,0.49,0.49,19.8,1.59,6.45,3.23,4.45,0.63,1,77.9,5.48,0,5.48,2.76,3.07,2.76,14.2,,14.2,7.17,6.45,7.17,24,24,32
AISC-L-L8X8X3_4,L,L8X8X3/4,L8X8X3/4,AISC-SHAPES,16.0,38.9,US_CUSTOMARY,11.5,69.9,22,12.2,2.46,69.9,22,12.2,2.46,2.21,8,8,0.75,1.38,1.375,2.26,2.26,0.719,0.719,28.5,1.57,8.91,10.4,4.39,0.63,1,111,5.39,0,5.39,2.73,3.2,2.73,20.6,,20.6,10.4,8.91,10.4,24,24,32
AISC-L-L8X8X5_8,L,L8X8X5/8,L8X8X5/8,AISC-SHAPES,16.0,32.7,US_CUSTOMARY,9.69,59.6,18.6,10.3,2.48,59.6,18.6,10.3,2.48,1.3,8,8,0.625,1.25,1.25,2.21,2.21,0.606,0.606,24.2,1.58,7.73,6.16,4.42,0.63,1,95,5.44,0,5.44,2.75,3.13,2.75,17.5,,17.5,8.8,7.73,8.8,24,24,32
AISC-L-L8X8X7_8,L,L8X8X7/8,L8X8X7/8,AISC-SHAPES,16.0,45,US_CUSTOMARY,13.3,79.7,25.3,14,2.45,79.7,25.3,14,2.45,3.46,8,8,0.875,1.5,1.5,2.31,2.31,0.831,0.831,32.7,1.57,10,16.1,4.36,0.63,1,127,5.35,0,5.35,2.7,3.27,2.7,23.7,,23.7,12.1,10,12.1,24,24,32
AISC-L-L8X8X9_16,L,L8X8X9/16,L8X8X9/16,AISC-SHAPES,16.0,29.6,US_CUSTOMARY,8.77,54.2,16.8,9.33,2.49,54.2,16.8,9.33,2.49,0.961,8,8,0.563,1.19,1.1875,2.19,2.19,0.548,0.548,21.9,1.58,7.06,4.55,4.43,0.63,1,86.4,5.46,0,5.46,2.76,3.1,2.76,15.8,,15.8,7.93,7.06,7.93,24,24,32
