sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,d,ddet,bf,bfdet,tw,twdet,twdet_2,tf,tfdet,kdes,kdet,x,eo,xp,T,WGi,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD
AISC-C-C4X4_5,C,C4X4.5,C4X4.5,AISC-SHAPES,16.0,4.5,US_CUSTOMARY,1.34,3.53,2.05,1.77,1.62,0.265,0.495,0.253,0.445,0.0306,4,4,1.52,1.5,0.125,0.125,0.0625,0.296,0.3125,0.75,0.75,0.473,0.556,0.305,2.5,,0.778,1.55,0.193,0.0883,0.0442,0.765,1.01,1.97,0.727,0.506,3.7,11.5,13,9.52,11
AISC-C-C4X5_4,C,C4X5.4,C4X5.4,AISC-SHAPES,16.0,5.4,US_CUSTOMARY,1.58,3.85,2.29,1.92,1.56,0.312,0.565,0.277,0.444,0.0399,4,4,1.58,1.625,0.184,0.1875,0.125,0.296,0.3125,0.75,0.75,0.457,0.501,0.231,2.5,,0.921,1.66,0.219,0.123,0.0637,0.765,1.13,1.88,0.742,0.528,3.7,12.1,13.6,9.58,11.2
AISC-C-C4X6_25,C,C4X6.25,C4X6.25,AISC-SHAPES,16.0,6.25,US_CUSTOMARY,1.84,4.19,2.55,2.1,1.51,0.374,0.623,0.312,0.451,0.0549,4,4,1.65,1.625,0.247,0.25,0.125,0.296,0.3125,0.75,0.75,0.453,0.447,0.233,2.5,,1.07,1.77,0.25,0.161,0.0807,0.769,1.26,1.81,0.753,0.549,3.7,11.7,13.3,9.65,11.3
AISC-C-C4X7_25,C,C4X7.25,C4X7.25,AISC-SHAPES,16.0,7.25,US_CUSTOMARY,2.13,4.58,2.84,2.29,1.47,0.425,0.695,0.337,0.447,0.0817,4,4,1.72,1.75,0.321,0.3125,0.1875,0.296,0.3125,0.75,0.75,0.459,0.386,0.266,2.5,1,1.24,1.88,0.281,0.199,0.101,0.767,1.41,1.75,0.767,0.563,3.7,12.4,14.2,9.72,11.4
AISC-C-C5X6_7,C,C5X6.7,C5X6.7,AISC-SHAPES,16.0,6.7,US_CUSTOMARY,1.97,7.48,3.55,2.99,1.95,0.47,0.757,0.372,0.489,0.0549,5,5,1.75,1.75,0.19,0.1875,0.125,0.32,0.3125,0.75,0.75,0.484,0.552,0.215,3.5,,2.22,2.36,0.38,0.224,0.113,1.17,1.76,2.26,0.79,0.584,4.68,14.5,16.3,11.8,13.5
AISC-C-C5X9,C,C5X9,C5X9,AISC-SHAPES,16.0,9,US_CUSTOMARY,2.64,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,0.109,5,5,1.89,1.875,0.325,0.3125,0.1875,0.32,0.3125,0.75,0.75,0.478,0.427,0.264,3.5,1.125,2.93,2.66,0.485,0.355,0.17,1.17,2.19,2.1,0.815,0.616,4.68,14.9,16.8,11.9,13.8
AISC-C-C6X10_5,C,C6X10.5,C6X10.5,AISC-SHAPES,16.0,10.5,US_CUSTOMARY,3.07,15.1,6.18,5.04,2.22,0.86,1.14,0.561,0.529,0.128,6,6,2.03,2,0.314,0.3125,0.1875,0.343,0.3125,0.813,0.8125,0.5,0.486,0.256,4.375,1.125,5.91,3.48,0.734,0.534,0.275,1.66,3.08,2.48,0.842,0.669,5.66,17.3,19.3,14,16.1
AISC-C-C6X13,C,C6X13,C6X13,AISC-SHAPES,16.0,13,US_CUSTOMARY,3.82,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,0.237,6,6,2.16,2.125,0.437,0.4375,0.25,0.343,0.3125,0.813,0.8125,0.514,0.38,0.318,4.375,1.375,7.19,3.8,0.875,0.702,0.345,1.67,3.64,2.37,0.858,0.689,5.66,17.6,19.8,14.2,16.3
AISC-C-C6X8_2,C,C6X8.2,C6X8.2,AISC-SHAPES,16.0,8.2,US_CUSTOMARY,2.39,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,0.0736,6,6,1.92,1.875,0.2,0.1875,0.125,0.343,0.3125,0.813,0.8125,0.512,0.599,0.199,4.375,1.125,4.7,3.17,0.61,0.373,0.187,1.67,2.57,2.65,0.824,0.643,5.66,17,18.9,13.9,15.8
AISC-C-C7X12_25,C,C7X12.25,C7X12.25,AISC-SHAPES,16.0,12.25,US_CUSTOMARY,3.59,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,0.161,7,7,2.19,2.25,0.314,0.3125,0.1875,0.366,0.375,0.875,0.875,0.525,0.538,0.257,5.25,1.25,11.2,4.44,1.09,0.793,0.406,2.28,4.2,2.86,0.862,0.722,6.63,19.7,21.9,16.2,18.4
AISC-C-C7X14_75,C,C7X14.75,C7X14.75,AISC-SHAPES,16.0,14.75,US_CUSTOMARY,4.33,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,0.267,7,7,2.3,2.25,0.419,0.4375,0.25,0.366,0.375,0.875,0.875,0.532,0.441,0.309,5.25,1.25,13.1,4.78,1.26,1,0.498,2.28,4.85,2.75,0.875,0.738,6.63,20,22.3,16.3,18.6
AISC-C-C7X9_8,C,C7X9.8,C7X9.8,AISC-SHAPES,16.0,9.8,US_CUSTOMARY,2.87,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,0.0996,7,7,2.09,2.125,0.21,0.1875,0.125,0.366,0.375,0.875,0.875,0.541,0.647,0.205,5.25,1.25,9.15,4.09,0.922,0.579,0.289,2.28,3.57,3.02,0.845,0.698,6.63,19.4,21.5,16.1,18.2
AISC-C-C8X11_5,C,C8X11.5,C8X11.5,AISC-SHAPES,16.0,11.5,US_CUSTOMARY,3.37,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,0.13,8,8,2.26,2.25,0.22,0.25,0.125,0.39,0.375,0.938,0.9375,0.572,0.697,0.211,6.125,1.375,16.5,5.11,1.34,0.855,0.43,3.03,4.79,3.41,0.862,0.756,7.61,21.9,24.1,18.3,20.5
AISC-C-C8X13_75,C,C8X13.75,C8X13.75,AISC-SHAPES,16.0,13.75,US_CUSTOMARY,4.03,36.1,11,9.02,2.99,1.52,1.73,0.848,0.613,0.186,8,8,2.34,2.375,0.303,0.3125,0.1875,0.39,0.375,0.938,0.9375,0.554,0.604,0.252,6.125,1.375,19.2,5.45,1.52,1.1,0.557,3.02,5.45,3.26,0.874,0.774,7.61,22.1,24.4,18.3,20.7
AISC-C-C8X18_75,C,C8X18.75,C8X18.75,AISC-SHAPES,16.0,18.75,US_CUSTOMARY,5.51,43.9,13.9,11,2.82,1.97,2.17,1.01,0.598,0.434,8,8,2.53,2.5,0.487,0.5,0.25,0.39,0.375,0.938,0.9375,0.565,0.431,0.344,6.125,1.5,25.1,6.13,1.93,1.59,0.788,3.03,6.93,3.05,0.894,0.8,7.61,22.6,25.1,18.5,21.1
AISC-C-C9X13_4,C,C9X13.4,C9X13.4,AISC-SHAPES,16.0,13.4,US_CUSTOMARY,3.94,47.8,12.6,10.6,3.48,1.75,1.94,0.954,0.666,0.168,9,9,2.43,2.375,0.233,0.25,0.125,0.413,0.4375,1,1,0.601,0.742,0.219,7,1.375,28.2,6.25,1.88,1.22,0.625,3.9,6.25,3.79,0.875,0.814,8.59,24.3,26.7,20.4,22.9
AISC-C-C9X15,C,C9X15,C9X15,AISC-SHAPES,16.0,15,US_CUSTOMARY,4.4,51,13.6,11.3,3.4,1.91,2.04,1.01,0.659,0.208,9,9,2.49,2.5,0.285,0.3125,0.1875,0.413,0.4375,1,1,0.586,0.681,0.245,7,1.375,31,6.54,2.06,1.46,0.705,3.91,6.8,3.69,0.882,0.825,8.59,24.5,27,20.5,23
AISC-C-C9X20,C,C9X20,C9X20,AISC-SHAPES,16.0,20,US_CUSTOMARY,5.87,60.9,16.9,13.5,3.22,2.41,2.46,1.17,0.64,0.427,9,9,2.65,2.625,0.448,0.4375,0.25,0.413,0.4375,1,1,0.583,0.515,0.326,7,1.5,39.4,7.24,2.52,2.04,1.01,3.9,8.44,3.46,0.899,0.85,8.59,24.9,27.6,20.7,23.3
