sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,T_F,d,ddet,bf,bfdet,tw,twdet,twdet_2,tf,tfdet,kdes,kdet,k1,T,WGi,WGo,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD
AISC-W-W12X45,W,W12X45,W12X45,AISC-SHAPES,16.0,45,US_CUSTOMARY,13.1,348,64.2,57.7,5.15,50,19,12.4,1.95,1.26,false,12.1,12,8.05,8,0.335,0.3125,0.1875,0.575,0.5625,1.08,1.375,0.9375,9.25,5.5,,1650,23.2,26.8,12.8,31.7,2.23,11.5,46.8,54.9,32.3,40.3
AISC-W-W12X50,W,W12X50,W12X50,AISC-SHAPES,16.0,50,US_CUSTOMARY,14.6,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,false,12.2,12.25,8.08,8.125,0.37,0.375,0.1875,0.64,0.625,1.14,1.5,0.9375,9.25,5.5,,1880,23.4,30.2,14.3,35.4,2.25,11.6,47,55.1,32.5,40.6
AISC-W-W12X53,W,W12X53,W12X53,AISC-SHAPES,16.0,53,US_CUSTOMARY,15.6,425,77.9,70.6,5.23,95.8,29.1,19.2,2.48,1.58,false,12.1,12,10,10,0.345,0.375,0.1875,0.575,0.5625,1.18,1.375,0.9375,9.25,5.5,,3160,28.8,41.4,16,38.3,2.79,11.5,52.5,62.5,34.2,44.2
AISC-W-W12X58,W,W12X58,W12X58,AISC-SHAPES,16.0,58,US_CUSTOMARY,17,475,86.4,78,5.28,107,32.5,21.4,2.51,2.1,false,12.2,12.25,10,10,0.36,0.375,0.1875,0.64,0.625,1.24,1.5,0.9375,9.25,5.5,,3570,28.9,46.2,17.8,42.4,2.81,11.6,52.6,62.6,34.4,44.4
AISC-W-W12X65,W,W12X65,W12X65,AISC-SHAPES,16.0,65,US_CUSTOMARY,19.1,533,96.8,87.9,5.28,174,44.1,29.1,3.02,2.18,false,12.1,12.125,12,12,0.39,0.375,0.1875,0.605,0.625,1.2,1.5,1,9.125,5.5,,5780,34.5,62.6,20.2,47.5,3.38,11.5,58.4,70.4,36.2,48.2
AISC-W-W12X72,W,W12X72,W12X72,AISC-SHAPES,16.0,72,US_CUSTOMARY,21.1,597,108,97.4,5.31,195,49.2,32.4,3.04,2.93,false,12.3,12.25,12,12,0.43,0.4375,0.25,0.67,0.6875,1.27,1.5625,1.0625,9.125,5.5,,6540,34.9,70.1,22.5,53.2,3.41,11.6,58.7,70.7,36.6,48.6
AISC-W-W12X79,W,W12X79,W12X79,AISC-SHAPES,16.0,79,US_CUSTOMARY,23.2,662,119,107,5.34,216,54.3,35.8,3.05,3.84,false,12.4,12.375,12.1,12.125,0.47,0.5,0.25,0.735,0.75,1.33,1.625,1.0625,9.125,5.5,,7330,35.3,78.5,24.9,58.9,3.43,11.7,59.1,71.2,36.9,49
AISC-W-W12X87,W,W12X87,W12X87,AISC-SHAPES,16.0,87,US_CUSTOMARY,25.6,740,132,118,5.38,241,60.4,39.7,3.07,5.1,false,12.5,12.5,12.1,12.125,0.515,0.5,0.25,0.81,0.8125,1.41,1.6875,1.0625,9.125,5.5,,8270,35.4,86.6,27.4,64.9,3.46,11.7,59.2,71.3,37.1,49.2
AISC-W-W12X96,W,W12X96,W12X96,AISC-SHAPES,16.0,96,US_CUSTOMARY,28.2,833,147,131,5.44,270,67.5,44.4,3.09,6.85,false,12.7,12.75,12.2,12.125,0.55,0.5625,0.3125,0.9,0.875,1.5,1.8125,1.125,9.125,5.5,,9410,36,98.8,30.9,73,3.49,11.8,59.9,72.1,37.6,49.8
AISC-W-W14X109,W,W14X109,W14X109,AISC-SHAPES,16.0,109,US_CUSTOMARY,32,1240,192,173,6.22,447,92.7,61.2,3.73,7.12,false,14.3,14.375,14.6,14.625,0.525,0.5,0.25,0.86,0.875,1.46,2.1875,1.5,10,5.5,,20200,49.1,154,40.7,94.8,4.17,13.4,70.3,84.9,43.2,57.8
AISC-W-W14X120,W,W14X120,W14X120,AISC-SHAPES,16.0,120,US_CUSTOMARY,35.3,1380,212,190,6.24,495,102,67.5,3.74,9.37,false,14.5,14.5,14.7,14.625,0.59,0.5625,0.3125,0.94,0.9375,1.54,2.25,1.5,10,5.5,,22700,49.8,172,45,105,4.2,13.6,70.9,85.6,43.7,58.4
AISC-W-W14X132,W,W14X132,W14X132,AISC-SHAPES,16.0,132,US_CUSTOMARY,38.8,1530,234,209,6.28,548,113,74.5,3.76,12.3,false,14.7,14.625,14.7,14.75,0.645,0.625,0.3125,1.03,1,1.63,2.3125,1.5625,10,5.5,,25500,50.2,190,49.5,116,4.23,13.7,71.2,85.9,44.1,58.8
AISC-W-W14X145,W,W14X145,W14X145,AISC-SHAPES,16.0,145,US_CUSTOMARY,42.7,1710,260,232,6.33,677,133,87.3,3.98,15.2,false,14.8,14.75,15.5,15.5,0.68,0.6875,0.375,1.09,1.0625,1.69,2.375,1.5625,10,7.5,3,31700,53.1,224,55.4,129,4.47,13.7,73.7,89.2,45.1,60.6
AISC-W-W14X159,W,W14X159,W14X159,AISC-SHAPES,16.0,159,US_CUSTOMARY,46.7,1900,287,254,6.38,748,146,96.2,4,19.7,false,15,15,15.6,15.625,0.745,0.75,0.375,1.19,1.1875,1.79,2.5,1.5625,10,7.5,3,35600,53.9,250,61,143,4.51,13.8,74.3,89.9,45.6,61.2
AISC-W-W14X176,W,W14X176,W14X176,AISC-SHAPES,16.0,176,US_CUSTOMARY,51.8,2140,320,281,6.43,838,163,107,4.02,26.5,false,15.2,15.25,15.7,15.625,0.83,0.8125,0.4375,1.31,1.3125,1.91,2.625,1.625,10,7.5,3,40500,54.5,280,67.6,159,4.55,13.9,74.8,90.5,46.1,61.8
AISC-W-W14X193,W,W14X193,W14X193,AISC-SHAPES,16.0,193,US_CUSTOMARY,56.8,2400,355,310,6.5,931,180,119,4.05,34.8,false,15.5,15.5,15.7,15.75,0.89,0.875,0.4375,1.44,1.4375,2.04,2.75,1.6875,10,7.5,3,45900,55.2,312,75,177,4.59,14.1,75.3,91,46.7,62.4
AISC-W-W14X211,W,W14X211,W14X211,AISC-SHAPES,16.0,211,US_CUSTOMARY,62,2660,390,338,6.55,1030,198,130,4.07,44.6,false,15.7,15.75,15.8,15.75,0.98,1,0.5,1.56,1.5625,2.16,2.875,1.6875,10,7.5,3,51500,55.9,344,81.7,194,4.64,14.1,75.8,91.6,47.2,63
AISC-W-W14X22,W,W14X22,W14X22,AISC-SHAPES,16.0,22,US_CUSTOMARY,6.49,199,33.2,29,5.54,7,4.39,2.8,1.04,0.208,false,13.7,13.75,5,5,0.23,0.25,0.125,0.335,0.3125,0.735,1.0625,0.75,11.625,2.75,,314,16.7,7,5.34,16.1,1.27,13.4,41.3,46.3,32.4,37.4
AISC-W-W14X233,W,W14X233,W14X233,AISC-SHAPES,16.0,233,US_CUSTOMARY,68.5,3010,436,375,6.63,1150,221,145,4.1,59.5,false,16,16,15.9,15.875,1.07,1.0625,0.5625,1.72,1.75,2.32,3,1.75,10,7.5,3,59000,56.8,388,91.1,216,4.69,14.3,76.5,92.4,47.9,63.8
AISC-W-W14X257,W,W14X257,W14X257,AISC-SHAPES,16.0,257,US_CUSTOMARY,75.6,3400,487,415,6.71,1290,246,161,4.13,79.1,false,16.4,16.375,16,16,1.18,1.1875,0.625,1.89,1.875,2.49,3.1875,1.8125,10,7.5,3,67800,58,439,102,243,4.75,14.5,77.4,93.4,48.8,64.8
AISC-W-W14X26,W,W14X26,W14X26,AISC-SHAPES,16.0,26,US_CUSTOMARY,7.69,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,0.358,false,13.9,13.875,5.03,5,0.255,0.25,0.125,0.42,0.4375,0.82,1.125,0.75,11.625,2.75,,405,17,8.95,6.76,19.7,1.3,13.5,41.7,46.7,32.8,37.9
AISC-W-W14X283,W,W14X283,W14X283,AISC-SHAPES,16.0,283,US_CUSTOMARY,83.3,3840,542,459,6.79,1440,274,179,4.17,104,true,16.7,16.75,16.1,16.125,1.29,1.3125,0.6875,2.07,2.0625,2.67,3.375,1.875,10,7.5,3,77700,58.9,491,112,269,4.8,14.6,78.1,94.2,49.5,65.6
AISC-W-W14X30,W,W14X30,W14X30,AISC-SHAPES,16.0,30,US_CUSTOMARY,8.85,291,47.3,42,5.73,19.6,8.99,5.82,1.49,0.38,false,13.8,13.875,6.73,6.75,0.27,0.25,0.125,0.385,0.375,0.785,1.125,0.75,11.625,3.5,,887,22.6,14.6,8.34,23.1,1.77,13.4,46.6,53.3,34.3,41.1
AISC-W-W14X311,W,W14X311,W14X311,AISC-SHAPES,16.0,311,US_CUSTOMARY,91.4,4330,603,506,6.88,1610,304,199,4.2,136,true,17.1,17.125,16.2,16.25,1.41,1.4375,0.75,2.26,2.25,2.86,3.5625,1.9375,10,7.5,3,89100,60.1,550,124,300,4.87,14.8,79,95.2,50.4,66.6
AISC-W-W14X34,W,W14X34,W14X34,AISC-SHAPES,16.0,34,US_CUSTOMARY,10,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53,0.569,false,14,14,6.75,6.75,0.285,0.3125,0.1875,0.455,0.4375,0.855,1.1875,0.75,11.625,3.5,,1070,22.9,17.6,10,26.9,1.8,13.5,47,53.7,34.8,41.5
AISC-W-W14X342,W,W14X342,W14X342,AISC-SHAPES,16.0,342,US_CUSTOMARY,101,4900,672,558,6.98,1810,338,221,4.24,178,true,17.5,17.5,16.4,16.375,1.54,1.5625,0.8125,2.47,2.5,3.07,3.75,2,10,7.5,3,103000,61.6,624,138,335,4.95,15,80.1,96.5,51.4,67.8
AISC-W-W14X370,W,W14X370,W14X370,AISC-SHAPES,16.0,370,US_CUSTOMARY,109,5440,736,607,7.07,1990,370,241,4.27,222,true,17.9,17.875,16.5,16.5,1.66,1.6875,0.8125,2.66,2.6875,3.26,3.9375,2.0625,10,7.5,3,116000,62.9,690,150,367,5,15.2,81,97.5,52.3,68.8
AISC-W-W14X38,W,W14X38,W14X38,AISC-SHAPES,16.0,38,US_CUSTOMARY,11.2,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,false,14.1,14.125,6.77,6.75,0.31,0.3125,0.1875,0.515,0.5,0.915,1.25,0.8125,11.625,3.5,,1230,23,20,11.3,30.3,1.82,13.6,47.2,54,35,41.7
AISC-W-W14X398,W,W14X398,W14X398,AISC-SHAPES,16.0,398,US_CUSTOMARY,117,6000,801,656,7.16,2170,402,262,4.31,273,true,18.3,18.25,16.6,16.625,1.77,1.75,0.875,2.85,2.875,3.44,4.125,2.125,10,7.5,3,129000,64.1,758,163,401,5.05,15.5,81.8,98.4,53.2,69.8
AISC-W-W14X426,W,W14X426,W14X426,AISC-SHAPES,16.0,426,US_CUSTOMARY,125,6600,869,706,7.26,2360,434,283,4.34,331,true,18.7,18.625,16.7,16.75,1.88,1.875,0.9375,3.04,3.0625,3.63,4.3125,2.125,10,7.5,3,144000,65.4,830,176,435,5.11,15.7,82.7,99.4,54.1,70.8
AISC-W-W14X43,W,W14X43,W14X43,AISC-SHAPES,16.0,43,US_CUSTOMARY,12.6,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,false,13.7,13.625,8,8,0.305,0.3125,0.1875,0.53,0.5,1.12,1.375,1,10.875,5.5,,1950,26.3,27.9,13.4,34,2.18,13.2,49.8,57.8,35.4,43.4
AISC-W-W14X455,W,W14X455,W14X455,AISC-SHAPES,16.0,455,US_CUSTOMARY,134,7190,936,756,7.33,2560,468,304,4.38,395,true,19,19,16.8,16.875,2.02,2,1,3.21,3.1875,3.81,4.5,2.25,10,7.5,3,160000,66.3,894,187,466,5.17,15.8,83.2,100,54.8,71.6
AISC-W-W14X48,W,W14X48,W14X48,AISC-SHAPES,16.0,48,US_CUSTOMARY,14.1,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,false,13.8,13.75,8.03,8,0.34,0.3125,0.1875,0.595,0.625,1.19,1.4375,1,10.875,5.5,,2240,26.5,31.7,15.1,38.3,2.2,13.2,50,58,35.6,43.7
AISC-W-W14X500,W,W14X500,W14X500,AISC-SHAPES,16.0,500,US_CUSTOMARY,147,8210,1050,838,7.48,2880,522,339,4.43,514,true,19.6,19.625,17,17,2.19,2.1875,1.125,3.5,3.5,4.1,4.8125,2.3125,10,7.5,3,187000,68.4,1020,209,522,5.26,16.1,85,102,56.2,73.2
AISC-W-W14X53,W,W14X53,W14X53,AISC-SHAPES,16.0,53,US_CUSTOMARY,15.6,541,87.1,77.8,5.89,57.7,22,14.3,1.92,1.94,false,13.9,13.875,8.06,8,0.37,0.375,0.1875,0.66,0.6875,1.25,1.5,1,10.875,5.5,,2540,26.7,35.5,16.8,42.5,2.22,13.2,50.2,58.3,35.9,43.9
AISC-W-W14X550,W,W14X550,W14X550,AISC-SHAPES,16.0,550,US_CUSTOMARY,162,9430,1180,931,7.63,3250,583,378,4.49,669,true,20.2,20.25,17.2,17.25,2.38,2.375,1.1875,3.82,3.8125,4.42,5.125,2.375,10,7.5,3,219000,70.4,1160,232,585,5.35,16.4,85.8,103,57.6,74.8
AISC-W-W14X605,W,W14X605,W14X605,AISC-SHAPES,16.0,605,US_CUSTOMARY,178,10800,1320,1040,7.8,3680,652,423,4.55,869,true,20.9,20.875,17.4,17.375,2.6,2.625,1.3125,4.16,4.1875,4.76,5.4375,2.5,10,7.5,3,258000,72.8,1320,258,657,5.44,16.7,87.6,105,59.2,76.6
AISC-W-W14X61,W,W14X61,W14X61,AISC-SHAPES,16.0,61,US_CUSTOMARY,17.9,640,102,92.1,5.98,107,32.8,21.5,2.45,2.19,false,13.9,13.875,10,10,0.375,0.375,0.1875,0.645,0.625,1.24,1.5,1,10.875,5.5,,4710,33.1,53.4,20.6,50.2,2.78,13.3,56,66,37.8,47.8
AISC-W-W14X665,W,W14X665,W14X665,AISC-SHAPES,16.0,665,US_CUSTOMARY,196,12400,1480,1150,7.98,4170,730,472,4.62,1120,true,21.6,21.625,17.7,17.625,2.83,2.8125,1.4375,4.52,4.5,5.12,5.8125,2.625,10,7.5,3,305000,75.6,1510,287,739,5.57,17.1,89.3,107,60.9,78.6
AISC-W-W14X68,W,W14X68,W14X68,AISC-SHAPES,16.0,68,US_CUSTOMARY,20,722,115,103,6.01,121,36.9,24.2,2.46,3.01,false,14,14,10,10,0.415,0.4375,0.25,0.72,0.75,1.31,1.5625,1.0625,10.875,5.5,,5380,33.2,59.8,22.9,56,2.8,13.3,56.2,66.2,38,48
AISC-W-W14X730,W,W14X730,W14X730,AISC-SHAPES,16.0,730,US_CUSTOMARY,215,14300,1660,1280,8.17,4720,816,527,4.69,1450,true,22.4,22.375,17.9,17.875,3.07,3.0625,1.5625,4.91,4.9375,5.51,6.1875,2.75,10,7.5,3,362000,78.3,1720,318,829,5.68,17.5,91.1,109,62.7,80.6
AISC-W-W14X74,W,W14X74,W14X74,AISC-SHAPES,16.0,74,US_CUSTOMARY,21.8,795,126,112,6.04,134,40.5,26.6,2.48,3.87,false,14.2,14.125,10.1,10.125,0.45,0.4375,0.25,0.785,0.8125,1.38,1.625,1.0625,10.875,5.5,,5990,33.9,67.1,25.4,62.2,2.83,13.4,56.8,66.9,38.5,48.6
AISC-W-W14X808,W,W14X808,W14X808,AISC-SHAPES,16.0,808,US_CUSTOMARY,238,15900,1830,1390,8.17,5550,930,597,4.83,1840,true,22.8,22.75,18.6,18.625,3.74,3.75,1.875,5.12,5.125,5.71,5.75,2.5,11.25,8.5,3,434000,82.2,1960,336,916,5.94,17.7,93.4,112,64.2,82.80000000000001
AISC-W-W14X82,W,W14X82,W14X82,AISC-SHAPES,16.0,82,US_CUSTOMARY,24,881,139,123,6.05,148,44.8,29.3,2.48,5.07,false,14.3,14.25,10.1,10.125,0.51,0.5,0.25,0.855,0.875,1.45,1.6875,1.0625,10.875,5.5,,6710,33.9,73.3,27.6,68.2,2.85,13.4,56.9,67,38.7,48.8
AISC-W-W14X873,W,W14X873,W14X873,AISC-SHAPES,16.0,873,US_CUSTOMARY,257,18100,2030,1530,8.39,6170,1020,656,4.9,2270,true,23.6,23.625,18.8,18.75,3.94,3.9375,2,5.51,5.5,6.1,6.1875,2.5625,11.25,8.5,3,505000,85,2200,370,1010,6.04,18.1,95.2,114,66,84.80000000000001
AISC-W-W14X90,W,W14X90,W14X90,AISC-SHAPES,16.0,90,US_CUSTOMARY,26.5,999,157,143,6.14,362,75.6,49.9,3.7,4.06,false,14,14,14.5,14.5,0.44,0.4375,0.25,0.71,0.6875,1.31,2,1.4375,10,5.5,,16000,48.2,124,33.2,77.1,4.1,13.3,69.6,84.1,42.5,57
AISC-W-W14X99,W,W14X99,W14X99,AISC-SHAPES,16.0,99,US_CUSTOMARY,29.1,1110,173,157,6.17,402,83.6,55.2,3.71,5.37,false,14.2,14.125,14.6,14.625,0.485,0.5,0.25,0.78,0.75,1.38,2.0625,1.4375,10,5.5,,18000,49,139,36.9,86.1,4.14,13.4,70.2,84.8,43,57.6
AISC-W-W16X100,W,W16X100,W16X100,AISC-SHAPES,16.0,100,US_CUSTOMARY,29.4,1490,198,175,7.1,186,54.9,35.7,2.51,7.73,false,17,17,10.4,10.375,0.585,0.5625,0.3125,0.985,1,1.39,1.875,1.125,13.25,5.5,,11900,41.6,107,38.7,98.5,2.92,16,63.3,73.7,44.4,54.8
AISC-W-W16X26,W,W16X26,W16X26,AISC-SHAPES,16.0,26,US_CUSTOMARY,7.68,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12,0.262,false,15.7,15.75,5.5,5.5,0.25,0.25,0.125,0.345,0.375,0.747,1.0625,0.75,13.625,3.5,,565,21.1,10,6.95,21.6,1.38,15.4,46.7,52.2,36.9,42.4
AISC-W-W16X31,W,W16X31,W16X31,AISC-SHAPES,16.0,31,US_CUSTOMARY,9.13,375,54,47.2,6.41,12.4,7.03,4.49,1.17,0.461,false,15.9,15.875,5.53,5.5,0.275,0.25,0.125,0.44,0.4375,0.842,1.125,0.75,13.625,3.5,,739,21.4,13,8.94,26.6,1.42,15.5,47.2,52.7,37.3,42.9
AISC-W-W16X36,W,W16X36,W16X36,AISC-SHAPES,16.0,36,US_CUSTOMARY,10.6,448,64,56.5,6.51,24.5,10.8,7,1.52,0.545,false,15.9,15.875,6.99,7,0.295,0.3125,0.1875,0.43,0.4375,0.832,1.125,0.75,13.625,3.5,,1460,27,20.3,11.1,31.6,1.83,15.5,51.5,58.5,38.8,45.8
AISC-W-W16X40,W,W16X40,W16X40,AISC-SHAPES,16.0,40,US_CUSTOMARY,11.8,518,73,64.7,6.63,28.9,12.7,8.25,1.57,0.794,false,16,16,7,7,0.305,0.3125,0.1875,0.505,0.5,0.907,1.1875,0.8125,13.625,3.5,,1730,27.1,24,13.1,36,1.86,15.5,51.7,58.7,39,46
AISC-W-W16X45,W,W16X45,W16X45,AISC-SHAPES,16.0,45,US_CUSTOMARY,13.3,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,false,16.1,16.125,7.04,7,0.345,0.375,0.1875,0.565,0.5625,0.967,1.25,0.8125,13.625,3.5,,1990,27.3,27.2,14.7,40.6,1.87,15.5,52,59,39.2,46.3
AISC-W-W16X50,W,W16X50,W16X50,AISC-SHAPES,16.0,50,US_CUSTOMARY,14.7,659,92,81,6.68,37.2,16.3,10.5,1.59,1.52,false,16.3,16.25,7.07,7.125,0.38,0.375,0.1875,0.63,0.625,1.03,1.3125,0.8125,13.625,3.5,,2270,27.7,30.8,16.5,45.6,1.89,15.7,52.3,59.4,39.7,46.7
AISC-W-W16X57,W,W16X57,W16X57,AISC-SHAPES,16.0,57,US_CUSTOMARY,16.8,758,105,92.2,6.72,43.1,18.9,12.1,1.6,2.22,false,16.4,16.375,7.12,7.125,0.43,0.4375,0.25,0.715,0.6875,1.12,1.375,0.875,13.625,3.5,,2660,27.9,35.5,18.8,52,1.92,15.7,52.6,59.7,39.9,47
AISC-W-W16X67,W,W16X67,W16X67,AISC-SHAPES,16.0,67,US_CUSTOMARY,19.6,954,130,117,6.96,119,35.5,23.2,2.46,2.39,false,16.3,16.375,10.2,10.25,0.395,0.375,0.1875,0.665,0.6875,1.07,1.5625,1,13.25,5.5,,7300,39.9,67.6,25.5,64.1,2.82,15.6,61.7,71.9,42.8,53
AISC-W-W16X77,W,W16X77,W16X77,AISC-SHAPES,16.0,77,US_CUSTOMARY,22.6,1110,150,134,7,138,41.1,26.9,2.47,3.57,false,16.5,16.5,10.3,10.25,0.455,0.4375,0.25,0.76,0.75,1.16,1.625,1.0625,13.25,5.5,,8590,40.5,79.3,29.4,74.4,2.85,15.7,62.3,72.6,43.3,53.6
AISC-W-W16X89,W,W16X89,W16X89,AISC-SHAPES,16.0,89,US_CUSTOMARY,26.2,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,false,16.8,16.75,10.4,10.375,0.525,0.5,0.25,0.875,0.875,1.28,1.75,1.0625,13.25,5.5,,10200,41.4,94.2,34.4,87.3,2.88,15.9,63.1,73.5,44,54.4
AISC-W-W18X106,W,W18X106,W18X106,AISC-SHAPES,16.0,106,US_CUSTOMARY,31.1,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,false,18.7,18.75,11.2,11.25,0.59,0.5625,0.3125,0.94,0.9375,1.34,1.8125,1.125,15.125,5.5,,17400,49.7,131,44.3,114,3.1,17.8,69.1,80.3,48.6,59.8
AISC-W-W18X119,W,W18X119,W18X119,AISC-SHAPES,16.0,119,US_CUSTOMARY,35.1,2190,262,231,7.9,253,69.1,44.9,2.69,10.6,false,19,19,11.3,11.25,0.655,0.625,0.3125,1.06,1.0625,1.46,1.9375,1.1875,15.125,5.5,,20300,50.7,152,50.6,131,3.13,17.9,69.9,81.2,49.3,60.6
AISC-W-W18X130,W,W18X130,W18X130,AISC-SHAPES,16.0,130,US_CUSTOMARY,38.3,2460,290,256,8.03,278,76.7,49.9,2.7,14.5,false,19.3,19.25,11.2,11.125,0.67,0.6875,0.375,1.2,1.1875,1.6,2.0625,1.1875,15.125,5.5,,22700,50.7,170,57.2,146,3.13,18.1,70.2,81.4,49.8,61
AISC-W-W18X143,W,W18X143,W18X143,AISC-SHAPES,16.0,143,US_CUSTOMARY,42,2750,322,282,8.09,311,85.4,55.5,2.72,19.2,false,19.5,19.5,11.2,11.25,0.73,0.75,0.375,1.32,1.3125,1.72,2.1875,1.1875,15.125,5.5,,25700,50.9,188,62.8,160,3.17,18.2,70.4,81.6,50.2,61.4
AISC-W-W18X158,W,W18X158,W18X158,AISC-SHAPES,16.0,158,US_CUSTOMARY,46.3,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,false,19.7,19.75,11.3,11.25,0.81,0.8125,0.4375,1.44,1.4375,1.84,2.375,1.25,15.125,5.5,,29000,51.6,210,69,177,3.2,18.3,71,82.3,50.7,62
AISC-W-W18X175,W,W18X175,W18X175,AISC-SHAPES,16.0,175,US_CUSTOMARY,51.4,3450,398,344,8.2,391,106,68.8,2.76,33.8,false,20,20,11.4,11.375,0.89,0.875,0.4375,1.59,1.5625,1.99,2.4375,1.25,15.125,5.5,,33300,52.5,238,76.9,198,3.24,18.4,71.7,83.1,51.4,62.8
AISC-W-W18X192,W,W18X192,W18X192,AISC-SHAPES,16.0,192,US_CUSTOMARY,56.2,3870,442,380,8.28,440,119,76.8,2.79,44.7,false,20.4,20.375,11.5,11.5,0.96,0.9375,0.5,1.75,1.75,2.15,2.625,1.3125,15.125,5.5,,38000,53.6,270,86,222,3.28,18.7,72.7,84.2,52.3,63.8
AISC-W-W18X211,W,W18X211,W18X211,AISC-SHAPES,16.0,211,US_CUSTOMARY,62.3,4330,490,419,8.35,493,132,85.3,2.82,58.6,false,20.7,20.625,11.6,11.5,1.06,1.0625,0.5625,1.91,1.9375,2.31,2.8125,1.375,15.125,5.5,,43400,54.5,302,94.6,246,3.32,18.8,73.4,85,53,64.6
AISC-W-W18X234,W,W18X234,W18X234,AISC-SHAPES,16.0,234,US_CUSTOMARY,68.6,4900,549,466,8.44,558,149,95.8,2.85,78.7,true,21.1,21,11.7,11.625,1.16,1.1875,0.625,2.11,2.125,2.51,3,1.375,15.125,5.5,,50100,55.5,343,106,276,3.37,19,74.3,86,53.9,65.6
AISC-W-W18X258,W,W18X258,W18X258,AISC-SHAPES,16.0,258,US_CUSTOMARY,76,5510,611,514,8.53,628,166,107,2.88,103,true,21.5,21.5,11.8,11.75,1.28,1.25,0.625,2.3,2.3125,2.7,3.1875,1.4375,15.125,5.5,,57600,56.6,384,116,306,3.42,19.2,75.1,86.9,54.8,66.6
AISC-W-W18X283,W,W18X283,W18X283,AISC-SHAPES,16.0,283,US_CUSTOMARY,83.3,6170,676,565,8.61,704,185,118,2.91,134,true,21.9,21.875,11.9,11.875,1.4,1.375,0.6875,2.5,2.5,3,3.375,1.5,15.125,5.5,,65900,57.7,429,127,339,3.47,19.4,75.8,87.7,55.7,67.6
AISC-W-W18X311,W,W18X311,W18X311,AISC-SHAPES,16.0,311,US_CUSTOMARY,91.6,6970,754,624,8.72,795,207,132,2.95,176,true,22.3,22.375,12,12,1.52,1.5,0.75,2.74,2.75,3.24,3.5625,1.5625,15.125,5.5,,76200,58.7,482,140,375,3.53,19.6,76.7,88.7,56.6,68.6
AISC-W-W18X35,W,W18X35,W18X35,AISC-SHAPES,16.0,35,US_CUSTOMARY,10.3,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,false,17.7,17.75,6,6,0.3,0.3125,0.1875,0.425,0.4375,0.827,1.125,0.75,15.5,3.5,,1140,25.9,16.5,10.5,32.7,1.51,17.3,52.1,58.1,41.4,47.4
AISC-W-W18X40,W,W18X40,W18X40,AISC-SHAPES,16.0,40,US_CUSTOMARY,11.8,612,78.4,68.4,7.21,19.1,10,6.35,1.27,0.81,false,17.9,17.875,6.02,6,0.315,0.3125,0.1875,0.525,0.5,0.927,1.1875,0.8125,15.5,3.5,,1440,26.1,20.7,13,38.6,1.56,17.4,52.6,58.6,41.8,47.8
AISC-W-W18X46,W,W18X46,W18X46,AISC-SHAPES,16.0,46,US_CUSTOMARY,13.5,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,false,18.1,18,6.06,6,0.36,0.375,0.1875,0.605,0.625,1.01,1.25,0.8125,15.5,3.5,,1720,26.5,24.3,15.1,44.9,1.58,17.5,52.9,59,42.3,48.3
AISC-W-W18X50,W,W18X50,W18X50,AISC-SHAPES,16.0,50,US_CUSTOMARY,14.7,800,101,88.9,7.38,40.1,16.6,10.7,1.65,1.24,false,18,18,7.5,7.5,0.355,0.375,0.1875,0.57,0.5625,0.972,1.25,0.8125,15.5,3.5,,3040,32.7,34.9,17.7,49.9,1.98,17.4,57.1,64.6,43.5,51
AISC-W-W18X55,W,W18X55,W18X55,AISC-SHAPES,16.0,55,US_CUSTOMARY,16.2,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,false,18.1,18.125,7.53,7.5,0.39,0.375,0.1875,0.63,0.625,1.03,1.3125,0.8125,15.5,3.5,,3430,32.9,39,19.6,55.3,2,17.5,57.3,64.8,43.7,51.3
AISC-W-W18X60,W,W18X60,W18X60,AISC-SHAPES,16.0,60,US_CUSTOMARY,17.6,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,false,18.2,18.25,7.56,7.5,0.415,0.4375,0.25,0.695,0.6875,1.1,1.375,0.8125,15.5,3.5,,3850,33.1,43.5,21.7,60.6,2.02,17.5,57.5,65.1,44,51.5
