sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,T_F,d,ddet,bf,bfdet,tw,twdet,twdet_2,tf,tfdet,kdes,kdet,k1,T,WGi,WGo,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD
AISC-W-W6X20,W,W6X20,W6X20,AISC-SHAPES,16.0,20,US_CUSTOMARY,5.87,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,0.24,false,6.2,6.25,6.02,6,0.26,0.25,0.125,0.365,0.375,0.615,0.875,0.5625,4.5,3.5,,113,8.78,4.82,3.07,7.38,1.7,5.84,29.5,35.5,18.4,24.4
AISC-W-W6X25,W,W6X25,W6X25,AISC-SHAPES,16.0,25,US_CUSTOMARY,7.34,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,0.461,false,6.38,6.375,6.08,6.125,0.32,0.3125,0.1875,0.455,0.4375,0.705,0.9375,0.5625,4.5,3.5,,150,9.01,6.23,3.88,9.39,1.74,5.93,29.9,36,18.8,24.9
AISC-W-W6X8_5,W,W6X8.5,W6X8.5,AISC-SHAPES,16.0,8.5,US_CUSTOMARY,2.52,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,0.0333,false,5.83,5.875,3.94,4,0.17,0.1875,0.125,0.195,0.1875,0.445,0.6875,0.5,4.5,2.25,,15.8,5.55,1.06,1.03,2.78,1.05,5.64,22.8,26.7,15.6,19.5
AISC-W-W6X9,W,W6X9,W6X9,AISC-SHAPES,16.0,9,US_CUSTOMARY,2.68,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,0.0405,false,5.9,5.875,3.94,4,0.17,0.1875,0.125,0.215,0.1875,0.465,0.6875,0.5,4.5,2.25,,17.7,5.6,1.19,1.15,3.04,1.06,5.69,22.9,26.8,15.7,19.7
AISC-W-W8X10,W,W8X10,W8X10,AISC-SHAPES,16.0,10,US_CUSTOMARY,2.96,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,0.0426,false,7.89,7.875,3.94,4,0.17,0.1875,0.125,0.205,0.1875,0.505,0.6875,0.5,6.5,2.25,,30.9,7.57,1.53,1.48,4.29,1.01,7.69,26.8,30.7,19.7,23.7
AISC-W-W8X13,W,W8X13,W8X13,AISC-SHAPES,16.0,13,US_CUSTOMARY,3.84,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,false,7.99,8,4,4,0.23,0.25,0.125,0.255,0.25,0.555,0.75,0.5625,6.5,2.25,,40.8,7.74,1.97,1.86,5.55,1.03,7.74,27,31,20,24
AISC-W-W8X15,W,W8X15,W8X15,AISC-SHAPES,16.0,15,US_CUSTOMARY,4.44,48,13.6,11.8,3.29,3.41,2.67,1.7,0.876,0.137,false,8.11,8.125,4.02,4,0.245,0.25,0.125,0.315,0.3125,0.615,0.8125,0.5625,6.5,2.25,,51.8,7.81,2.47,2.31,6.64,1.06,7.8,27.3,31.3,20.2,24.2
AISC-W-W8X18,W,W8X18,W8X18,AISC-SHAPES,16.0,18,US_CUSTOMARY,5.26,61.9,17,15.2,3.43,7.97,4.66,3.04,1.23,0.172,false,8.14,8.125,5.25,5.25,0.23,0.25,0.125,0.33,0.3125,0.63,0.8125,0.5625,6.5,2.75,,122,10.3,4.44,3.23,8.37,1.43,7.81,31,36.3,21.5,26.8
AISC-W-W8X21,W,W8X21,W8X21,AISC-SHAPES,16.0,21,US_CUSTOMARY,6.16,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,0.282,false,8.28,8.25,5.27,5.25,0.25,0.25,0.125,0.4,0.375,0.7,0.875,0.5625,6.5,2.75,,152,10.4,5.47,3.96,10.1,1.46,7.88,31.3,36.6,21.8,27.1
AISC-W-W8X24,W,W8X24,W8X24,AISC-SHAPES,16.0,24,US_CUSTOMARY,7.08,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,0.346,false,7.93,7.875,6.5,6.5,0.245,0.25,0.125,0.4,0.375,0.794,0.875,0.5625,6.125,4,,259,12.2,7.95,4.71,11.3,1.81,7.53,34.2,40.7,22.4,28.9
AISC-W-W8X28,W,W8X28,W8X28,AISC-SHAPES,16.0,28,US_CUSTOMARY,8.25,98,27.2,24.3,3.45,21.7,10.1,6.63,1.62,0.537,false,8.06,8,6.54,6.5,0.285,0.3125,0.1875,0.465,0.4375,0.859,0.9375,0.625,6.125,4,,312,12.4,9.44,5.52,13.4,1.84,7.6,34.5,41,22.7,29.2
AISC-W-W8X31,W,W8X31,W8X31,AISC-SHAPES,16.0,31,US_CUSTOMARY,9.13,110,30.4,27.5,3.47,37.1,14.1,9.27,2.02,0.536,false,8,8,8,8,0.285,0.3125,0.1875,0.435,0.4375,0.829,1.125,0.75,5.75,5.5,,530,15.1,13.2,6.35,15,2.26,7.57,38.8,46.8,24,32
AISC-W-W8X35,W,W8X35,W8X35,AISC-SHAPES,16.0,35,US_CUSTOMARY,10.3,127,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,false,8.12,8.125,8.02,8,0.31,0.3125,0.1875,0.495,0.5,0.889,1.1875,0.8125,5.75,5.5,,619,15.3,15.2,7.28,17.1,2.28,7.63,39,47,24.3,32.3
AISC-W-W8X40,W,W8X40,W8X40,AISC-SHAPES,16.0,40,US_CUSTOMARY,11.7,146,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,false,8.25,8.25,8.07,8.125,0.36,0.375,0.1875,0.56,0.5625,0.954,1.25,0.8125,5.75,5.5,,726,15.5,17.5,8.3,19.7,2.31,7.69,39.3,47.4,24.6,32.6
AISC-W-W8X48,W,W8X48,W8X48,AISC-SHAPES,16.0,48,US_CUSTOMARY,14.1,184,49,43.2,3.61,60.9,22.9,15,2.08,1.96,false,8.5,8.5,8.11,8.125,0.4,0.375,0.1875,0.685,0.6875,1.08,1.375,0.8125,5.75,5.5,,931,15.8,22,10.3,24.2,2.35,7.82,39.9,48,25.1,33.2
AISC-W-W8X58,W,W8X58,W8X58,AISC-SHAPES,16.0,58,US_CUSTOMARY,17.1,228,59.8,52,3.65,75.1,27.9,18.3,2.1,3.33,false,8.75,8.75,8.22,8.25,0.51,0.5,0.25,0.81,0.8125,1.2,1.5,0.875,5.75,5.5,,1180,16.3,27.2,12.4,29.7,2.39,7.94,40.5,48.7,25.7,33.9
AISC-W-W8X67,W,W8X67,W8X67,AISC-SHAPES,16.0,67,US_CUSTOMARY,19.7,272,70.1,60.4,3.72,88.6,32.7,21.4,2.12,5.05,false,9,9,8.28,8.25,0.57,0.5625,0.3125,0.935,0.9375,1.33,1.625,0.9375,5.75,5.5,,1440,16.7,32.3,14.5,34.8,2.43,8.07,41,49.3,26.3,34.6
