sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Ht,B,h,b,tnom,tdes,C
AISC-HSS-RECT-HSS3X2_1_2X_125,HSS-RECT,HSS3X2-1/2X.125,HSS3X2-1/2X1/8,AISC-SHAPES,16.0,4.33,US_CUSTOMARY,1.19,1.54,1.23,1.03,1.14,1.16,1.09,0.931,0.99,2.13,3,2.5,2.65,2.15,0.125,0.116,1.59
AISC-HSS-RECT-HSS3X2_1_2X_188,HSS-RECT,HSS3X2-1/2X.188,HSS3X2-1/2X3/16,AISC-SHAPES,16.0,6.23,US_CUSTOMARY,1.71,2.11,1.73,1.41,1.11,1.59,1.52,1.27,0.963,3,3,2.5,2.48,1.98,0.1875,0.174,2.27
AISC-HSS-RECT-HSS3X2_1_2X_250,HSS-RECT,HSS3X2-1/2X.250,HSS3X2-1/2X1/4,AISC-SHAPES,16.0,7.96,US_CUSTOMARY,2.21,2.57,2.16,1.72,1.08,1.93,1.9,1.54,0.935,3.74,3,2.5,2.3,1.8,0.25,0.233,2.87
AISC-HSS-RECT-HSS3X2_1_2X_313,HSS-RECT,HSS3X2-1/2X.313,HSS3X2-1/2X5/16,AISC-SHAPES,16.0,9.51,US_CUSTOMARY,2.64,2.92,2.51,1.94,1.05,2.18,2.2,1.74,0.908,4.34,3,2.5,2.13,1.63,0.3125,0.291,3.39
AISC-HSS-RECT-HSS3X3X_125,HSS-RECT,HSS3X3X.125,HSS3X3X1/8,AISC-SHAPES,16.0,4.75,US_CUSTOMARY,1.3,1.78,1.4,1.19,1.17,1.78,1.4,1.19,1.17,2.84,3,3,2.65,2.65,0.125,0.116,1.92
AISC-HSS-RECT-HSS3X3X_188,HSS-RECT,HSS3X3X.188,HSS3X3X3/16,AISC-SHAPES,16.0,6.87,US_CUSTOMARY,1.89,2.46,1.97,1.64,1.14,2.46,1.97,1.64,1.14,4.03,3,3,2.48,2.48,0.1875,0.174,2.76
AISC-HSS-RECT-HSS3X3X_250,HSS-RECT,HSS3X3X.250,HSS3X3X1/4,AISC-SHAPES,16.0,8.81,US_CUSTOMARY,2.44,3.02,2.48,2.01,1.11,3.02,2.48,2.01,1.11,5.08,3,3,2.3,2.3,0.25,0.233,3.52
AISC-HSS-RECT-HSS3X3X_313,HSS-RECT,HSS3X3X.313,HSS3X3X5/16,AISC-SHAPES,16.0,10.58,US_CUSTOMARY,2.94,3.45,2.9,2.3,1.08,3.45,2.9,2.3,1.08,5.94,3,3,2.13,2.13,0.3125,0.291,4.18
AISC-HSS-RECT-HSS3X3X_375,HSS-RECT,HSS3X3X.375,HSS3X3X3/8,AISC-SHAPES,16.0,12.17,US_CUSTOMARY,3.39,3.78,3.25,2.52,1.06,3.78,3.25,2.52,1.06,6.64,3,3,1.95,1.95,0.375,0.349,4.74
AISC-HSS-RECT-HSS3_1_2X1_1_2X_125,HSS-RECT,HSS3-1/2X1-1/2X.125,HSS3-1/2X1-1/2X1/8,AISC-SHAPES,16.0,3.9,US_CUSTOMARY,1.07,1.57,1.15,0.896,1.21,0.411,0.63,0.548,0.619,1.09,3.5,1.5,3.15,1.15,0.125,0.116,1.08
AISC-HSS-RECT-HSS3_1_2X1_1_2X_188,HSS-RECT,HSS3-1/2X1-1/2X.188,HSS3-1/2X1-1/2X3/16,AISC-SHAPES,16.0,5.59,US_CUSTOMARY,1.54,2.12,1.6,1.21,1.17,0.544,0.867,0.725,0.594,1.49,3.5,1.5,2.98,0.978,0.1875,0.174,1.51
AISC-HSS-RECT-HSS3_1_2X1_1_2X_250,HSS-RECT,HSS3-1/2X1-1/2X.250,HSS3-1/2X1-1/2X1/4,AISC-SHAPES,16.0,7.11,US_CUSTOMARY,1.97,2.55,1.98,1.46,1.14,0.638,1.06,0.851,0.569,1.79,3.5,1.5,2.8,0.801,0.25,0.233,1.88
AISC-HSS-RECT-HSS3_1_2X2X_125,HSS-RECT,HSS3-1/2X2X.125,HSS3-1/2X2X1/8,AISC-SHAPES,16.0,4.33,US_CUSTOMARY,1.19,1.9,1.34,1.09,1.27,0.795,0.912,0.795,0.818,1.83,3.5,2,3.15,1.65,0.125,0.116,1.47
AISC-HSS-RECT-HSS3_1_2X2X_188,HSS-RECT,HSS3-1/2X2X.188,HSS3-1/2X2X3/16,AISC-SHAPES,16.0,6.23,US_CUSTOMARY,1.71,2.61,1.89,1.49,1.23,1.08,1.27,1.08,0.792,2.55,3.5,2,2.98,1.48,0.1875,0.174,2.09
AISC-HSS-RECT-HSS3_1_2X2X_250,HSS-RECT,HSS3-1/2X2X.250,HSS3-1/2X2X1/4,AISC-SHAPES,16.0,7.96,US_CUSTOMARY,2.21,3.17,2.36,1.81,1.2,1.3,1.58,1.3,0.766,3.16,3.5,2,2.8,1.3,0.25,0.233,2.64
AISC-HSS-RECT-HSS3_1_2X2_1_2X_125,HSS-RECT,HSS3-1/2X2-1/2X.125,HSS3-1/2X2-1/2X1/8,AISC-SHAPES,16.0,4.75,US_CUSTOMARY,1.3,2.23,1.54,1.28,1.31,1.33,1.22,1.06,1.01,2.67,3.5,2.5,3.15,2.15,0.125,0.116,1.87
AISC-HSS-RECT-HSS3_1_2X2_1_2X_188,HSS-RECT,HSS3-1/2X2-1/2X.188,HSS3-1/2X2-1/2X3/16,AISC-SHAPES,16.0,6.87,US_CUSTOMARY,1.89,3.09,2.18,1.76,1.28,1.82,1.72,1.46,0.983,3.78,3.5,2.5,2.98,1.98,0.1875,0.174,2.67
AISC-HSS-RECT-HSS3_1_2X2_1_2X_250,HSS-RECT,HSS3-1/2X2-1/2X.250,HSS3-1/2X2-1/2X1/4,AISC-SHAPES,16.0,8.81,US_CUSTOMARY,2.44,3.79,2.74,2.17,1.25,2.23,2.16,1.78,0.956,4.75,3.5,2.5,2.8,1.8,0.25,0.233,3.4
AISC-HSS-RECT-HSS3_1_2X2_1_2X_313,HSS-RECT,HSS3-1/2X2-1/2X.313,HSS3-1/2X2-1/2X5/16,AISC-SHAPES,16.0,10.58,US_CUSTOMARY,2.94,4.34,3.2,2.48,1.22,2.54,2.52,2.03,0.93,5.53,3.5,2.5,2.63,1.63,0.3125,0.291,4.03
AISC-HSS-RECT-HSS3_1_2X2_1_2X_375,HSS-RECT,HSS3-1/2X2-1/2X.375,HSS3-1/2X2-1/2X3/8,AISC-SHAPES,16.0,12.17,US_CUSTOMARY,3.39,4.75,3.59,2.72,1.18,2.77,2.82,2.21,0.904,6.16,3.5,2.5,2.45,1.45,0.375,0.349,4.57
AISC-HSS-RECT-HSS3_1_2X3_1_2X_125,HSS-RECT,HSS3-1/2X3-1/2X.125,HSS3-1/2X3-1/2X1/8,AISC-SHAPES,16.0,5.61,US_CUSTOMARY,1.54,2.9,1.93,1.66,1.37,2.9,1.93,1.66,1.37,4.58,3.5,3.5,3.15,3.15,0.125,0.116,2.65
AISC-HSS-RECT-HSS3_1_2X3_1_2X_188,HSS-RECT,HSS3-1/2X3-1/2X.188,HSS3-1/2X3-1/2X3/16,AISC-SHAPES,16.0,8.15,US_CUSTOMARY,2.24,4.05,2.76,2.31,1.35,4.05,2.76,2.31,1.35,6.56,3.5,3.5,2.98,2.98,0.1875,0.174,3.83
AISC-HSS-RECT-HSS3_1_2X3_1_2X_250,HSS-RECT,HSS3-1/2X3-1/2X.250,HSS3-1/2X3-1/2X1/4,AISC-SHAPES,16.0,10.51,US_CUSTOMARY,2.91,5.04,3.5,2.88,1.32,5.04,3.5,2.88,1.32,8.35,3.5,3.5,2.8,2.8,0.25,0.233,4.92
AISC-HSS-RECT-HSS3_1_2X3_1_2X_313,HSS-RECT,HSS3-1/2X3-1/2X.313,HSS3-1/2X3-1/2X5/16,AISC-SHAPES,16.0,12.7,US_CUSTOMARY,3.52,5.84,4.14,3.34,1.29,5.84,4.14,3.34,1.29,9.89,3.5,3.5,2.63,2.63,0.3125,0.291,5.9
AISC-HSS-RECT-HSS3_1_2X3_1_2X_375,HSS-RECT,HSS3-1/2X3-1/2X.375,HSS3-1/2X3-1/2X3/8,AISC-SHAPES,16.0,14.72,US_CUSTOMARY,4.09,6.49,4.69,3.71,1.26,6.49,4.69,3.71,1.26,11.2,3.5,3.5,2.45,2.45,0.375,0.349,6.77
AISC-HSS-RECT-HSS4X1_1_2X_125,HSS-RECT,HSS4X1-1/2X.125,HSS4X1-1/2X1/8,AISC-SHAPES,16.0,4.33,US_CUSTOMARY,1.19,2.21,1.43,1.11,1.36,0.467,0.71,0.622,0.627,1.3,4,1.5,3.65,1.15,0.125,0.116,1.24
AISC-HSS-RECT-HSS4X1_1_2X_188,HSS-RECT,HSS4X1-1/2X.188,HSS4X1-1/2X3/16,AISC-SHAPES,16.0,6.23,US_CUSTOMARY,1.71,3.02,2.01,1.51,1.33,0.621,0.982,0.827,0.602,1.78,4,1.5,3.48,0.978,0.1875,0.174,1.75
AISC-HSS-RECT-HSS4X1_1_2X_250,HSS-RECT,HSS4X1-1/2X.250,HSS4X1-1/2X1/4,AISC-SHAPES,16.0,7.96,US_CUSTOMARY,2.21,3.66,2.5,1.83,1.29,0.733,1.21,0.977,0.576,2.14,4,1.5,3.3,0.801,0.25,0.233,2.18
AISC-HSS-RECT-HSS4X2X_125,HSS-RECT,HSS4X2X.125,HSS4X2X1/8,AISC-SHAPES,16.0,4.75,US_CUSTOMARY,1.3,2.65,1.66,1.32,1.43,0.898,1.02,0.898,0.83,2.2,4,2,3.65,1.65,0.125,0.116,1.69
AISC-HSS-RECT-HSS4X2X_188,HSS-RECT,HSS4X2X.188,HSS4X2X3/16,AISC-SHAPES,16.0,6.87,US_CUSTOMARY,1.89,3.66,2.34,1.83,1.39,1.22,1.43,1.22,0.804,3.08,4,2,3.48,1.48,0.1875,0.174,2.41
AISC-HSS-RECT-HSS4X2X_250,HSS-RECT,HSS4X2X.250,HSS4X2X1/4,AISC-SHAPES,16.0,8.81,US_CUSTOMARY,2.44,4.49,2.94,2.25,1.36,1.48,1.79,1.48,0.779,3.82,4,2,3.3,1.3,0.25,0.233,3.05
AISC-HSS-RECT-HSS4X2X_313,HSS-RECT,HSS4X2X.313,HSS4X2X5/16,AISC-SHAPES,16.0,10.58,US_CUSTOMARY,2.94,5.13,3.43,2.56,1.32,1.67,2.08,1.67,0.754,4.4,4,2,3.13,1.13,0.3125,0.291,3.59
AISC-HSS-RECT-HSS4X2X_375,HSS-RECT,HSS4X2X.375,HSS4X2X3/8,AISC-SHAPES,16.0,12.17,US_CUSTOMARY,3.39,5.6,3.84,2.8,1.29,1.8,2.31,1.8,0.729,4.83,4,2,2.95,0.953,0.375,0.349,4.04
AISC-HSS-RECT-HSS4X2_1_2X_125,HSS-RECT,HSS4X2-1/2X.125,HSS4X2-1/2X1/8,AISC-SHAPES,16.0,5.18,US_CUSTOMARY,1.42,3.09,1.88,1.54,1.47,1.49,1.36,1.19,1.03,3.23,4,2.5,3.65,2.15,0.125,0.116,2.14
AISC-HSS-RECT-HSS4X2_1_2X_188,HSS-RECT,HSS4X2-1/2X.188,HSS4X2-1/2X3/16,AISC-SHAPES,16.0,7.51,US_CUSTOMARY,2.06,4.3,2.67,2.15,1.44,2.06,1.93,1.65,0.999,4.59,4,2.5,3.48,1.98,0.1875,0.174,3.08
AISC-HSS-RECT-HSS4X2_1_2X_250,HSS-RECT,HSS4X2-1/2X.250,HSS4X2-1/2X1/4,AISC-SHAPES,16.0,9.66,US_CUSTOMARY,2.67,5.32,3.38,2.66,1.41,2.53,2.43,2.02,0.973,5.78,4,2.5,3.3,1.8,0.25,0.233,3.93
AISC-HSS-RECT-HSS4X3X_125,HSS-RECT,HSS4X3X.125,HSS4X3X1/8,AISC-SHAPES,16.0,5.61,US_CUSTOMARY,1.54,3.52,2.11,1.76,1.52,2.27,1.73,1.51,1.21,4.38,4,3,3.65,2.65,0.125,0.116,2.59
AISC-HSS-RECT-HSS4X3X_188,HSS-RECT,HSS4X3X.188,HSS4X3X3/16,AISC-SHAPES,16.0,8.15,US_CUSTOMARY,2.24,4.93,3,2.47,1.49,3.16,2.46,2.1,1.19,6.26,4,3,3.48,2.48,0.1875,0.174,3.74
AISC-HSS-RECT-HSS4X3X_250,HSS-RECT,HSS4X3X.250,HSS4X3X1/4,AISC-SHAPES,16.0,10.51,US_CUSTOMARY,2.91,6.15,3.81,3.07,1.45,3.91,3.12,2.61,1.16,7.96,4,3,3.3,2.3,0.25,0.233,4.81
AISC-HSS-RECT-HSS4X3X_313,HSS-RECT,HSS4X3X.313,HSS4X3X5/16,AISC-SHAPES,16.0,12.7,US_CUSTOMARY,3.52,7.14,4.51,3.57,1.42,4.52,3.69,3.02,1.13,9.41,4,3,3.13,2.13,0.3125,0.291,5.75
AISC-HSS-RECT-HSS4X3X_375,HSS-RECT,HSS4X3X.375,HSS4X3X3/8,AISC-SHAPES,16.0,14.72,US_CUSTOMARY,4.09,7.93,5.12,3.97,1.39,5.01,4.18,3.34,1.11,10.6,4,3,2.95,1.95,0.375,0.349,6.59
AISC-HSS-RECT-HSS4X4X_125,HSS-RECT,HSS4X4X.125,HSS4X4X1/8,AISC-SHAPES,16.0,6.46,US_CUSTOMARY,1.77,4.4,2.56,2.2,1.58,4.4,2.56,2.2,1.58,6.91,4,4,3.65,3.65,0.125,0.116,3.49
AISC-HSS-RECT-HSS4X4X_188,HSS-RECT,HSS4X4X.188,HSS4X4X3/16,AISC-SHAPES,16.0,9.42,US_CUSTOMARY,2.58,6.21,3.67,3.1,1.55,6.21,3.67,3.1,1.55,10,4,4,3.48,3.48,0.1875,0.174,5.07
AISC-HSS-RECT-HSS4X4X_250,HSS-RECT,HSS4X4X.250,HSS4X4X1/4,AISC-SHAPES,16.0,12.21,US_CUSTOMARY,3.37,7.8,4.69,3.9,1.52,7.8,4.69,3.9,1.52,12.8,4,4,3.3,3.3,0.25,0.233,6.56
AISC-HSS-RECT-HSS4X4X_313,HSS-RECT,HSS4X4X.313,HSS4X4X5/16,AISC-SHAPES,16.0,14.83,US_CUSTOMARY,4.1,9.14,5.59,4.57,1.49,9.14,5.59,4.57,1.49,15.3,4,4,3.13,3.13,0.3125,0.291,7.91
AISC-HSS-RECT-HSS4X4X_375,HSS-RECT,HSS4X4X.375,HSS4X4X3/8,AISC-SHAPES,16.0,17.27,US_CUSTOMARY,4.78,10.3,6.39,5.13,1.47,10.3,6.39,5.13,1.47,17.5,4,4,2.95,2.95,0.375,0.349,9.14
AISC-HSS-RECT-HSS4X4X_500,HSS-RECT,HSS4X4X.500,HSS4X4X1/2,AISC-SHAPES,16.0,21.63,US_CUSTOMARY,6.02,11.9,7.7,5.97,1.41,11.9,7.7,5.97,1.41,21,4,4,2.6,2.6,0.5,0.465,11.2
AISC-HSS-RECT-HSS4_1_2X4_1_2X_125,HSS-RECT,HSS4-1/2X4-1/2X.125,HSS4-1/2X4-1/2X1/8,AISC-SHAPES,16.0,7.31,US_CUSTOMARY,2,6.35,3.27,2.82,1.78,6.35,3.27,2.82,1.78,9.92,4.5,4.5,4.15,4.15,0.125,0.116,4.45
AISC-HSS-RECT-HSS4_1_2X4_1_2X_188,HSS-RECT,HSS4-1/2X4-1/2X.188,HSS4-1/2X4-1/2X3/16,AISC-SHAPES,16.0,10.7,US_CUSTOMARY,2.93,9.02,4.71,4.01,1.75,9.02,4.71,4.01,1.75,14.4,4.5,4.5,3.98,3.98,0.1875,0.174,6.49
AISC-HSS-RECT-HSS4_1_2X4_1_2X_250,HSS-RECT,HSS4-1/2X4-1/2X.250,HSS4-1/2X4-1/2X1/4,AISC-SHAPES,16.0,13.91,US_CUSTOMARY,3.84,11.4,6.06,5.08,1.73,11.4,6.06,5.08,1.73,18.5,4.5,4.5,3.8,3.8,0.25,0.233,8.44
AISC-HSS-RECT-HSS4_1_2X4_1_2X_313,HSS-RECT,HSS4-1/2X4-1/2X.313,HSS4-1/2X4-1/2X5/16,AISC-SHAPES,16.0,16.96,US_CUSTOMARY,4.68,13.5,7.27,6,1.7,13.5,7.27,6,1.7,22.3,4.5,4.5,3.63,3.63,0.3125,0.291,10.2
AISC-HSS-RECT-HSS4_1_2X4_1_2X_375,HSS-RECT,HSS4-1/2X4-1/2X.375,HSS4-1/2X4-1/2X3/8,AISC-SHAPES,16.0,19.82,US_CUSTOMARY,5.48,15.3,8.36,6.79,1.67,15.3,8.36,6.79,1.67,25.7,4.5,4.5,3.45,3.45,0.375,0.349,11.9
AISC-HSS-RECT-HSS4_1_2X4_1_2X_500,HSS-RECT,HSS4-1/2X4-1/2X.500,HSS4-1/2X4-1/2X1/2,AISC-SHAPES,16.0,25.03,US_CUSTOMARY,6.95,18.1,10.2,8.03,1.61,18.1,10.2,8.03,1.61,31.3,4.5,4.5,3.1,3.1,0.5,0.465,14.8
AISC-HSS-RECT-HSS5X2X_125,HSS-RECT,HSS5X2X.125,HSS5X2X1/8,AISC-SHAPES,16.0,5.61,US_CUSTOMARY,1.54,4.65,2.37,1.86,1.74,1.1,1.24,1.1,0.848,2.95,5,2,4.65,1.65,0.125,0.116,2.13
AISC-HSS-RECT-HSS5X2X_188,HSS-RECT,HSS5X2X.188,HSS5X2X3/16,AISC-SHAPES,16.0,8.15,US_CUSTOMARY,2.24,6.5,3.37,2.6,1.7,1.51,1.75,1.51,0.823,4.15,5,2,4.48,1.48,0.1875,0.174,3.05
AISC-HSS-RECT-HSS5X2X_250,HSS-RECT,HSS5X2X.250,HSS5X2X1/4,AISC-SHAPES,16.0,10.51,US_CUSTOMARY,2.91,8.08,4.27,3.23,1.67,1.84,2.2,1.84,0.797,5.17,5,2,4.3,1.3,0.25,0.233,3.88
AISC-HSS-RECT-HSS5X2X_313,HSS-RECT,HSS5X2X.313,HSS5X2X5/16,AISC-SHAPES,16.0,12.7,US_CUSTOMARY,3.52,9.35,5.05,3.74,1.63,2.1,2.57,2.1,0.772,5.99,5,2,4.13,1.13,0.3125,0.291,4.59
AISC-HSS-RECT-HSS5X2X_375,HSS-RECT,HSS5X2X.375,HSS5X2X3/8,AISC-SHAPES,16.0,14.72,US_CUSTOMARY,4.09,10.4,5.71,4.14,1.59,2.28,2.88,2.28,0.748,6.61,5,2,3.95,0.953,0.375,0.349,5.2
AISC-HSS-RECT-HSS5X2_1_2X_125,HSS-RECT,HSS5X2-1/2X.125,HSS5X2-1/2X1/8,AISC-SHAPES,16.0,6.03,US_CUSTOMARY,1.65,5.34,2.65,2.14,1.8,1.82,1.64,1.46,1.05,4.4,5,2.5,4.65,2.15,0.125,0.116,2.7
AISC-HSS-RECT-HSS5X2_1_2X_188,HSS-RECT,HSS5X2-1/2X.188,HSS5X2-1/2X3/16,AISC-SHAPES,16.0,8.78,US_CUSTOMARY,2.41,7.51,3.79,3.01,1.77,2.53,2.33,2.03,1.02,6.26,5,2.5,4.48,1.98,0.1875,0.174,3.89
AISC-HSS-RECT-HSS5X2_1_2X_250,HSS-RECT,HSS5X2-1/2X.250,HSS5X2-1/2X1/4,AISC-SHAPES,16.0,11.36,US_CUSTOMARY,3.14,9.4,4.83,3.76,1.73,3.13,2.95,2.5,0.999,7.93,5,2.5,4.3,1.8,0.25,0.233,4.99
AISC-HSS-RECT-HSS5X3X_125,HSS-RECT,HSS5X3X.125,HSS5X3X1/8,AISC-SHAPES,16.0,6.46,US_CUSTOMARY,1.77,6.03,2.93,2.41,1.85,2.75,2.07,1.83,1.25,6.02,5,3,4.65,2.65,0.125,0.116,3.26
AISC-HSS-RECT-HSS5X3X_188,HSS-RECT,HSS5X3X.188,HSS5X3X3/16,AISC-SHAPES,16.0,9.42,US_CUSTOMARY,2.58,8.53,4.21,3.41,1.82,3.85,2.96,2.57,1.22,8.64,5,3,4.48,2.48,0.1875,0.174,4.73
AISC-HSS-RECT-HSS5X3X_250,HSS-RECT,HSS5X3X.250,HSS5X3X1/4,AISC-SHAPES,16.0,12.21,US_CUSTOMARY,3.37,10.7,5.38,4.29,1.78,4.81,3.77,3.21,1.19,11,5,3,4.3,2.3,0.25,0.233,6.1
AISC-HSS-RECT-HSS5X3X_313,HSS-RECT,HSS5X3X.313,HSS5X3X5/16,AISC-SHAPES,16.0,14.83,US_CUSTOMARY,4.1,12.6,6.42,5.03,1.75,5.6,4.48,3.73,1.17,13.1,5,3,4.13,2.13,0.3125,0.291,7.33
AISC-HSS-RECT-HSS5X3X_375,HSS-RECT,HSS5X3X.375,HSS5X3X3/8,AISC-SHAPES,16.0,17.27,US_CUSTOMARY,4.78,14.1,7.34,5.65,1.72,6.25,5.1,4.16,1.14,14.9,5,3,3.95,1.95,0.375,0.349,8.44
AISC-HSS-RECT-HSS5X3X_500,HSS-RECT,HSS5X3X.500,HSS5X3X1/2,AISC-SHAPES,16.0,21.63,US_CUSTOMARY,6.02,16.4,8.83,6.57,1.65,7.18,6.1,4.78,1.09,17.6,5,3,3.6,1.6,0.5,0.465,10.3
AISC-HSS-RECT-HSS5X4X_125,HSS-RECT,HSS5X4X.125,HSS5X4X1/8,AISC-SHAPES,16.0,7.31,US_CUSTOMARY,2,7.42,3.5,2.97,1.93,5.27,3.01,2.64,1.62,9.66,5,4,4.65,3.65,0.125,0.116,4.39
AISC-HSS-RECT-HSS5X4X_188,HSS-RECT,HSS5X4X.188,HSS5X4X3/16,AISC-SHAPES,16.0,10.7,US_CUSTOMARY,2.93,10.6,5.05,4.22,1.9,7.48,4.34,3.74,1.6,14,5,4,4.48,3.48,0.1875,0.174,6.41
AISC-HSS-RECT-HSS5X4X_250,HSS-RECT,HSS5X4X.250,HSS5X4X1/4,AISC-SHAPES,16.0,13.91,US_CUSTOMARY,3.84,13.4,6.49,5.35,1.87,9.46,5.57,4.73,1.57,18,5,4,4.3,3.3,0.25,0.233,8.32
AISC-HSS-RECT-HSS5X4X_313,HSS-RECT,HSS5X4X.313,HSS5X4X5/16,AISC-SHAPES,16.0,16.96,US_CUSTOMARY,4.68,15.8,7.79,6.32,1.84,11.1,6.67,5.57,1.54,21.7,5,4,4.13,3.13,0.3125,0.291,10.1
AISC-HSS-RECT-HSS5X4X_375,HSS-RECT,HSS5X4X.375,HSS5X4X3/8,AISC-SHAPES,16.0,19.82,US_CUSTOMARY,5.48,17.9,8.96,7.17,1.81,12.6,7.67,6.3,1.52,24.9,5,4,3.95,2.95,0.375,0.349,11.7
AISC-HSS-RECT-HSS5X4X_500,HSS-RECT,HSS5X4X.500,HSS5X4X1/2,AISC-SHAPES,16.0,25.03,US_CUSTOMARY,6.95,21.2,10.9,8.49,1.75,14.9,9.35,7.43,1.46,30.3,5,4,3.6,2.6,0.5,0.465,14.5
AISC-HSS-RECT-HSS5X5X_125,HSS-RECT,HSS5X5X.125,HSS5X5X1/8,AISC-SHAPES,16.0,8.16,US_CUSTOMARY,2.23,8.8,4.07,3.52,1.99,8.8,4.07,3.52,1.99,13.7,5,5,4.65,4.65,0.125,0.116,5.53
AISC-HSS-RECT-HSS5X5X_188,HSS-RECT,HSS5X5X.188,HSS5X5X3/16,AISC-SHAPES,16.0,11.97,US_CUSTOMARY,3.28,12.6,5.89,5.03,1.96,12.6,5.89,5.03,1.96,19.9,5,5,4.48,4.48,0.1875,0.174,8.08
AISC-HSS-RECT-HSS5X5X_250,HSS-RECT,HSS5X5X.250,HSS5X5X1/4,AISC-SHAPES,16.0,15.62,US_CUSTOMARY,4.3,16,7.61,6.41,1.93,16,7.61,6.41,1.93,25.8,5,5,4.3,4.3,0.25,0.233,10.5
AISC-HSS-RECT-HSS5X5X_313,HSS-RECT,HSS5X5X.313,HSS5X5X5/16,AISC-SHAPES,16.0,19.08,US_CUSTOMARY,5.26,19,9.16,7.62,1.9,19,9.16,7.62,1.9,31.2,5,5,4.13,4.13,0.3125,0.291,12.8
AISC-HSS-RECT-HSS5X5X_375,HSS-RECT,HSS5X5X.375,HSS5X5X3/8,AISC-SHAPES,16.0,22.37,US_CUSTOMARY,6.18,21.7,10.6,8.68,1.87,21.7,10.6,8.68,1.87,36.1,5,5,3.95,3.95,0.375,0.349,14.9
AISC-HSS-RECT-HSS5X5X_500,HSS-RECT,HSS5X5X.500,HSS5X5X1/2,AISC-SHAPES,16.0,28.43,US_CUSTOMARY,7.88,26,13.1,10.4,1.82,26,13.1,10.4,1.82,44.6,5,5,3.6,3.6,0.5,0.465,18.7
AISC-HSS-RECT-HSS5_1_2X5_1_2X_125,HSS-RECT,HSS5-1/2X5-1/2X.125,HSS5-1/2X5-1/2X1/8,AISC-SHAPES,16.0,9.01,US_CUSTOMARY,2.46,11.8,4.95,4.3,2.19,11.8,4.95,4.3,2.19,18.3,5.5,5.5,5.15,5.15,0.125,0.116,6.72
AISC-HSS-RECT-HSS5_1_2X5_1_2X_188,HSS-RECT,HSS5-1/2X5-1/2X.188,HSS5-1/2X5-1/2X3/16,AISC-SHAPES,16.0,13.25,US_CUSTOMARY,3.63,17,7.19,6.17,2.16,17,7.19,6.17,2.16,26.7,5.5,5.5,4.98,4.98,0.1875,0.174,9.85
AISC-HSS-RECT-HSS5_1_2X5_1_2X_250,HSS-RECT,HSS5-1/2X5-1/2X.250,HSS5-1/2X5-1/2X1/4,AISC-SHAPES,16.0,17.32,US_CUSTOMARY,4.77,21.7,9.32,7.9,2.13,21.7,9.32,7.9,2.13,34.8,5.5,5.5,4.8,4.8,0.25,0.233,12.9
AISC-HSS-RECT-HSS5_1_2X5_1_2X_313,HSS-RECT,HSS5-1/2X5-1/2X.313,HSS5-1/2X5-1/2X5/16,AISC-SHAPES,16.0,21.21,US_CUSTOMARY,5.85,25.9,11.3,9.43,2.11,25.9,11.3,9.43,2.11,42.2,5.5,5.5,4.63,4.63,0.3125,0.291,15.7
AISC-HSS-RECT-HSS5_1_2X5_1_2X_375,HSS-RECT,HSS5-1/2X5-1/2X.375,HSS5-1/2X5-1/2X3/8,AISC-SHAPES,16.0,24.93,US_CUSTOMARY,6.88,29.7,13.1,10.8,2.08,29.7,13.1,10.8,2.08,49,5.5,5.5,4.45,4.45,0.375,0.349,18.4
AISC-HSS-RECT-HSS6X2X_125,HSS-RECT,HSS6X2X.125,HSS6X2X1/8,AISC-SHAPES,16.0,6.46,US_CUSTOMARY,1.77,7.42,3.19,2.47,2.05,1.31,1.46,1.31,0.861,3.72,6,2,5.65,1.65,0.125,0.116,2.57
AISC-HSS-RECT-HSS6X2X_188,HSS-RECT,HSS6X2X.188,HSS6X2X3/16,AISC-SHAPES,16.0,9.42,US_CUSTOMARY,2.58,10.5,4.58,3.49,2.01,1.8,2.07,1.8,0.836,5.24,6,2,5.48,1.48,0.1875,0.174,3.68
AISC-HSS-RECT-HSS6X2X_250,HSS-RECT,HSS6X2X.250,HSS6X2X1/4,AISC-SHAPES,16.0,12.21,US_CUSTOMARY,3.37,13.1,5.84,4.37,1.97,2.21,2.61,2.21,0.81,6.55,6,2,5.3,1.3,0.25,0.233,4.7
AISC-HSS-RECT-HSS6X2X_313,HSS-RECT,HSS6X2X.313,HSS6X2X5/16,AISC-SHAPES,16.0,14.83,US_CUSTOMARY,4.1,15.3,6.95,5.11,1.93,2.52,3.07,2.52,0.785,7.6,6,2,5.13,1.13,0.3125,0.291,5.58
AISC-HSS-RECT-HSS6X2X_375,HSS-RECT,HSS6X2X.375,HSS6X2X3/8,AISC-SHAPES,16.0,17.27,US_CUSTOMARY,4.78,17.1,7.93,5.71,1.89,2.77,3.46,2.77,0.76,8.42,6,2,4.95,0.953,0.375,0.349,6.35
AISC-HSS-RECT-HSS6X3X_125,HSS-RECT,HSS6X3X.125,HSS6X3X1/8,AISC-SHAPES,16.0,7.31,US_CUSTOMARY,2,9.43,3.87,3.14,2.17,3.23,2.4,2.15,1.27,7.73,6,3,5.65,2.65,0.125,0.116,3.93
